id,verdict,narration,subject,evidence,missing,reason
ASSET-101,PASS,ちなみに、今回襲われた男女二人組は、クマ避けの鈴を携帯しており、二人で行動していました。,男女二人組・クマ避けの鈴,"Two full-body Japanese hikers walking side by side toward the viewer at a slight three-quarter angle, both faces clearly visible. / a small daypack with a small brass bell for warding off wildlife hanging from its strap / a small daypack with a small brass bell for warding off wildlife",,ナレーションに登場する女性と男性が並んで歩き、二人とも鈴を携帯する姿が描かれている。
ASSET-102,FAIL,通常であれば、この条件でクマが寄ってくる可能性は低いです。,クマ,該当なし,クマが描かれていない,ナレーションに登場するクマが、キャラと背景のどちらのプロンプトにも登場しないため。
ASSET-104,FAIL,専門家は、積極的に人を襲った可能性が高いヒグマによる事故と捉え、「一度人間を襲ったクマは凶暴性を増す」と指摘しています。,専門家・ヒグマ・襲われた人,研究者の左に096のクマ（2人を襲った同じクマ）を小さく重ね,襲われた人と、ヒグマによる襲撃の場面,研究者とクマは登場するが、ナレーションにある人への襲撃は絵に描かれていない。
ASSET-105,FAIL,町も、今回の事件で極めて危険性が高いと判断し、すぐさまクマ駆除へと動き出します。,町の職員・クマ・駆除,"A full-body Japanese male town official in his 40s with short black hair, a navy work jacket, a light blue shirt, grey trousers and black shoes",クマが描かれていない,町の職員は描かれているが、ナレーションに登場するクマはプロンプトに登場しない。
ASSET-107,PASS,ハンターたちは、現場から半径数キロにわたって捜索を開始。,ハンターたち・捜索,"Both are tense and searching, NOT calm, NOT smiling.",,ナレーションの主語であるハンター2人が、周囲を探す姿で描かれている。
ASSET-109,PASS,しかし、草むらが視界を塞ぎ、なかなか思うように探せません。,草むら・ハンター,"He pushes both arms forward as if parting tall grass, eyebrows pulled together and slanted upward, eyes squeezed in frustration, teeth gritted, sweat flying from his temples, frustrated and struggling, NOT calm, NOT smiling. / the grass closing in from both sides, no path visible beyond a few metres",,草むらに視界を塞がれ、思うように進めずいら立つハンターが描かれている。
ASSET-110,PASS,そこで、町は北海道に、防災ヘリの出動を要請。,町職員・防災ヘリの出動要請,"He presses a corded telephone handset to his right ear and holds a plain blank sheet of paper in his left hand, eyebrows shot up and pulled together, eyes stretched wide, mouth wide open pleading into the phone",,町の職員が電話で出動を要請する行為を描いている。
ASSET-113,FAIL,ハンターと消防署員ら、合わせて26人が捜索に加わります。,ハンター・消防署員・捜索隊26人,"Behind them, partly hidden by the front row, only heads and shoulders show, drawn a little smaller: more hunters in orange vests and firefighters in white helmets, roughly twenty-six people in all.",26人ちょうどの捜索隊,プロンプトは人数を「roughly twenty-six」としており、ナレーションの26人と同数になる指定がない。
ASSET-114,PASS,「きょうこそ仕留めたい」と、ハンターたちは語り、,ハンターたち,"Two full-body Japanese hunters standing side by side facing the viewer, both faces clearly visible.",,ナレーションの主語であるハンター2人が、意気込む姿で描かれている。
ASSET-115,FAIL,捜索隊は3班に分かれ、山へ入ります。,3班に分かれる捜索隊,"Three full-body Japanese search-team leaders, each heading off a different way",各班の先頭に立つ3人以外の捜索隊員,描かれる人物は班の先頭に立つ3人だけで、捜索隊が3班に分かれて山へ入る様子は描かれていない。
ASSET-117,PASS,出発にあたり、地元のベテランハンターである長田範男さん（62歳）が、他のハンターに銃の扱いについて念入りに指導。,長田さん・他のハンター・銃の指導,"Two full-body Japanese hunters facing each other at a slight three-quarter angle toward the viewer, both faces clearly visible. Left: 1) (CHAR-05 再利用) the veteran, a Japanese local hunter aged 62 ... showing the safety catch with his thumb ... mouth open mid-instruction ... Right: 2) (CHAR-09 再利用) a Japanese young hunter in his 30s ... leaning in and nodding",,長田さんと教わるハンターの両方が描かれ、銃の扱いを指導する様子も見える。
ASSET-120,PASS,山道を歩いてると、クマの足跡を発見。,ハンター・クマの足跡,"He points down and to his right with his right index finger, eyebrows shot up high, eyes stretched wide open, mouth wide open in a gasp, a bead of sweat flying from his temple, shocked and alert, NOT calm, NOT smiling. / A line of large Hokkaido brown bear pawprints, left by an adult male brown bear about 2 metres long and roughly 150 to 250 kilograms, pressed into a strip of lingering old granular snow on a hillside trail near Setana, southwestern Hokkaido",,発見するハンターと、主題そのものであるクマの足跡が描かれている。
ASSET-121,PASS,雪が溶けてしまうと、せっかくの手がかりも消えてしまいます。,雪・手がかり,"A single Hokkaido brown bear pawprint about 14 centimetres wide, left by an adult male brown bear about 2 metres long and roughly 150 to 250 kilograms, slowly melting away in a thin patch of wet, slushy old snow",,手がかりである足跡が雪解けで消えかける様子が描かれている。
ASSET-122,PASS,長田さんは「完全に雪が解けたら足跡を追えない。今週中が勝負」と、他のハンターに伝え、全力で捜索を続けます。,長田さん・他のハンター・足跡,"Two full-body Japanese hunters facing each other at a slight three-quarter angle toward the viewer, both faces clearly visible. / A trail of Hokkaido brown bear pawprints, left by an adult male brown bear about 2 metres long and roughly 150 to 250 kilograms, crossing a long strip of lingering old snow",,長田さんと話を聞くハンター、捜索の手がかりとなる残雪上の足跡が描かれている。
ASSET-124,FAIL,日が沈むまでクマを探したものの、結局クマは見つかりませんでした。,ハンター・クマ,A full-body Japanese local hunter in his 60s,クマが描かれていない,ナレーションに登場するハンターは描かれているが、クマはプロンプトに登場しない。
ASSET-126,PASS,昨年の事件といい、このクマはかなり厄介な相手だと言えます。,クマ,An adult male Hokkaido brown bear about 2 metres long and roughly 150 to 250 kilograms walking away ON ALL FOURS between the trunks of a bare deciduous forest,,ナレーションの主題であるクマが背景プロンプトに描かれている。
ASSET-128,FAIL,ハンターたちは、町の方達に「このクマは非常に危険。付近の住民は夜の外出を控えてほしい」と伝えたとのこと。,ハンター・住民・クマ,"Two full-body Japanese men facing each other at a slight three-quarter angle toward the viewer, both faces clearly visible.",クマが描かれていない,ナレーションに登場するハンターと住民は描かれているが、危険だと伝えられるクマはプロンプトの絵に登場しない。
ASSET-129,PASS,町の観光協会からは、「解決が遅れると観光にも影響を与えかねない」という心配の声も上がりました。,観光協会の職員,観光協会の職員が心配そうに話す。,,ナレーションに登場する人物は観光協会の職員で、キャラ素材を配置する指示もあるため、主題が絵に登場する。
ASSET-130,FAIL,しかし、その後も全力で捜索しましたが、見つけることはできませんでした。,ハンターの捜索,walking toward the viewer at a slight three-quarter angle with his head hanging,捜索している場面,ハンターの落胆した帰路は描かれていますが、ナレーションの主題である捜索は描かれていません。
ASSET-132,PASS,なんと二つ目の事件があった太田の山で、町職員が箱わなにかかっているクマを見つけました。,町職員・クマ・箱わな,「A full-body Japanese male town official in his 40s」「Inside the trap an adult male Hokkaido brown bear about 1.8 metres long and about 250 kilograms crouches ON ALL FOURS」,,町職員と箱わなにかかったクマが、それぞれのプロンプトに描かれている。
ASSET-135,PASS,すかさずハンターが、クマを駆除し、,ハンター・クマ・発砲,"He has the rifle shouldered with his cheek on the stock and is firing it toward the right edge of the picture, a bright cartoon muzzle flash bursting from the end of the barrel / Inside the trap an adult male Hokkaido brown bear about 1.8 metres long and about 250 kilograms crouches ON ALL FOURS",,ハンターの発砲と、箱わなにいるクマがともに描かれている。
ASSET-136,FAIL,女性を襲ったクマなのかを確かめるため、肉片を研究所へ送ります。,女性・クマ・肉片,該当なし,襲われた女性とクマが描かれていない,研究者と試料の描写はあるが、ナレーションに登場する女性とクマがプロンプトに登場しない。
