id,verdict,narration,subject,evidence,missing,reason
ASSET-051,PASS,地区長を通じて、住民への注意も徹底することになりました。,地区長・住民・注意の呼びかけ,集落の掲示板の横で、地区長が住民へ注意を呼びかけ、住民（CHAR-10）が不安そうに聞く。,,地区長と住民の双方が登場し、注意を呼びかける場面が描かれている。
ASSET-053,FAIL,民家と山の境目に茂ったササを刈り、視界を良くすることでクマが家へ近づきにくくしたのです。,作業員・クマ・ササ,「キャラは既存の ASSET-053_char.png（刈払機の作業員）を使い」／「a wide freshly cut strip where tall bamboo grass has been mown down to short stubble」,クマが描かれていない,作業員と刈られたササは指定されているが、ナレーションに登場するクマはプロンプトに登場しない。
ASSET-054,FAIL,また、小中学生を乗せたスクールバスは、家の玄関まで送り迎えするようにしました。,小中学生・スクールバス,A small white Japanese school bus stopped right at the front entrance of a rural wooden house near Setana,中学生,スクールバスと既存の小学生キャラは指定されていますが、ナレーションに登場する中学生は描かれていません。
ASSET-055,FAIL,そして、少しでも情報を集めるため、クマを見たときだけの連絡だけでなく、,職員・目撃者・クマ,He presses a corded telephone handset to his right ear and holds a plain clipboard with a pen in his left hand,クマと、クマを見た目撃者,情報を集める職員は描かれていますが、ナレーションに出るクマと、それを見た人物は描かれていません。
ASSET-058,FAIL,一方、クマの捕獲のために動いていた猟友会からは、ハンターの高齢化を心配する声も多く寄せられました。,クマ・猟友会・高齢ハンター,Three aging Japanese hunters in their late 60s and 70s getting ready at the gravel entrance of a forest road near Setana,クマが描かれていない。,高齢のハンターは描かれているが、ナレーションに登場するクマがプロンプトに登場しないため。
ASSET-059,FAIL,そのため、町は新たなハンターを増やすべく、2013年から狩猟免許や猟銃の購入など、ハンター活動に必要な資金の一部を負担することに決定。,町・ハンター・費用負担,"a male town official in his 40s with short black hair, a navy work jacket, a light blue shirt, grey trousers and black shoes, holding out one plain blank sheet of paper with both hands",町が狩猟免許や猟銃の購入費用の一部を負担すること,町の職員と若いハンターは描かれていますが、費用負担という主題は白紙の書類と喜ぶ反応で代替されています。
ASSET-060,FAIL,こうした取り組みを必死ですすめていましたが、人を襲ったクマは結局、誰も捕まえることはできませんでした。,ハンター・被害者・クマ,A full-body Japanese local hunter in his 60s,人を襲ったクマと、襲われた人が描かれていない。,空の箱わなとハンターの悔しがる姿だけでは、ナレーションに登場するクマと襲われた人を描いたことにならない。
ASSET-066,PASS,山へ入ったのは、45歳の女性と63歳の知人男性。,45歳の女性・63歳の知人男性,"Exactly two full-body Japanese figures side by side, walking toward the viewer at a slight three-quarter angle, both faces clearly visible. Left to right: 1) (CHAR-03 再利用) a woman in her mid 40s ...; 2) (CHAR-04 再利用) a man aged 63 ...",,ナレーションに登場する女性と知人男性の両方がキャラプロンプトに描かれている。
ASSET-067,PASS,2人は、ギョウジャニンニクを採りに来ていました。,2人・ギョウジャニンニク採取,"Two Japanese hands pick it at the same time: on the left a woman's hand in a MAROON jacket sleeve, on the right a man's hand in a grey jacket sleeve",,2人がギョウジャニンニクを採る場面を、顔を見せず手元で描いている。
ASSET-068,PASS,ギョウジャニンニクは1キロ2000円ほどで売れるので、,ギョウジャニンニク・販売価格,She holds up a big bundle of wild garlic with broad green leaves and reddish stems in both hands,,ナレーションに人物・動物は登場せず、主題のギョウジャニンニクは絵に描かれ、価格はテロップで示される。
ASSET-069,PASS,副収入を得ようとする人が一定数、毎年こうして山に入っていきます。,副収入を得ようとする人,キャラは既存の ASSET-069_char.png（カゴを持つ人）を使い、雪の写った背景だけ作り直す。／人を左から山道の入口へ歩かせる,,ナレーションに登場する人物は副収入を得ようとする人で、既存キャラを山道の入口へ歩かせる指示がある。
ASSET-070,PASS,林道の入口には、「クマ出没注意」の看板。,林道入口のクマ注意看板,"A bear warning sign at the entrance of a gravel forest road near Ota in the Taisei district of Setana, southwestern Hokkaido, in early April early spring: a yellow diamond sign on a metal post showing only a black bear pictogram and no words",,ナレーションの主題であるクマ注意の看板が林道入口に描かれている。
ASSET-071,FAIL,クマがよく出没する地域として知られていましたが、それでも二人は山へと足を踏み入れて行きました。,クマ・二人,"Exactly two full-body Japanese figures walking toward the viewer at a slight three-quarter angle, both faces clearly visible.",クマ,二人は描かれていますが、クマは看板のピクトグラムで示されるだけで、絵の中に登場しません。
ASSET-074,PASS,山菜採りを終えた2人は、男性を先頭にして下山中でした。,山菜採りを終えた男女2人の下山,"Two Japanese foragers walk down the trail away from the camera, seen from behind: the man is several steps AHEAD, further down the trail, a Japanese man in his early 60s with short greying hair in a grey field jacket and navy trousers, a canvas bag on his shoulder; the woman follows BEHIND him, closer to the camera, a Japanese woman in her mid 40s in a MAROON field jacket and charcoal trousers with dark hair tied low, a woven basket full of wild garlic on her arm.",,男性と女性の2人が下り道を歩き、男性が先頭で女性が後ろに続く姿が描かれている。
ASSET-078,PASS,そのとき男性が持っていたのは、枝を払うためのナタでした。,男性・ナタ,a Japanese man's right hand in a grey field jacket sleeve gripping a traditional Japanese nata brush-clearing hatchet with a broad rectangular steel blade and a worn wooden handle,,男性の手と、握っている枝払い用のナタが描かれている。
ASSET-079,PASS,向かってくるクマは、体長およそ2メートル。,向かってくるクマ,An adult male Hokkaido brown bear (Ursus arctos yesoensis) about 2 metres long and roughly 150 to 250 kilograms charging straight toward the camera ON ALL FOURS along a narrow forest trail,,ナレーションに登場するクマがこちらへ向かう姿で描かれ、体長約2mの数値もプロンプトに指定されている。
ASSET-080,PASS,男性はそのナタで、クマの顔面をたたきます。,男性・クマ・ナタによる打撃,向かってくるクマの顔面へ、男性（CHAR-04）がナタを振り下ろして当てる。,,男性とクマが登場し、ナタがクマの顔に当たる瞬間を描く指定がある。
ASSET-082,PASS,諦めたのかそのまま山の中へ逃げていきました。,ヒグマの逃走,"an adult brown bear on all fours, its back and rump toward the camera, bounds away uphill into dense bamboo grass and bare woods and disappears",,ナレーションの主語であるヒグマが、山の中へ走り去る姿として描かれている。
ASSET-083,PASS,その後、女性はすぐさま病院へと緊急搬送。,女性・緊急搬送,"Two Japanese paramedics in navy-blue uniforms and white helmets lift a wheeled stretcher into the open rear doors of a white Japanese ambulance stopped on a narrow road through bare forested hills near Setana, southwestern Hokkaido, in early April early spring. On the stretcher lies a Japanese woman in her mid 40s covered to the shoulders by a grey blanket, one arm in a MAROON jacket sleeve resting on top of the blanket; her head is turned away toward the ambulance and no face visible.",,ナレーションに登場する女性と、救急車へ運び入れる搬送場面が描かれている。
ASSET-084,PASS,幸い肩や腕に重いけがを負いましたが、命に別状はなかったとのことです。,女性・肩と腕の負傷,"Clean white bandages are wrapped around her left shoulder and upper arm, and her left arm rests in a white sling; her right hand is pressed to her chest.",,女性本人と肩・腕の負傷がキャラプロンプトに描かれている。
ASSET-085,PASS,同行していた男性に関しては、大きな怪我はなかったと報告されています。,同行していた男性・大きな怪我なし,His clothes are dusty but he has no injury.,,ナレーションに登場する男性が、大きな怪我のない姿で描かれている。
ASSET-086,FAIL,専門家は、男性が落ち着いてクマの動きを見て反撃し、被害を最小限に食い止めたと評価しています。,専門家・男性・クマ,A full-body Japanese female researcher in her 40s,男性とクマがキャラ・背景プロンプトに描かれていない。,男性とクマは編集で重ねる080の画面にのみ指定されている。
ASSET-090,PASS,周辺の道にも、クマへの注意を呼びかける看板が設置されました。,周辺の道・クマ注意看板,"A newly installed bear warning sign beside a country road along the forested hills near Ota in the Taisei district of Setana, southwestern Hokkaido",,道沿いに設置されたクマ注意看板が描かれ、さらに道の先の2枚目の看板も指定されている。
ASSET-091,FAIL,この地域では、山のそばに暮らす住民もクマを警戒していたとのこと。,住民・クマ,A full-body Japanese local resident man in his 70s with short white hair,クマ,ナレーションに登場する住民は描かれているが、クマはプロンプトに登場しない。
ASSET-094,FAIL,念のため、1年前に人を襲い逃げ延びたとされるクマのDNAと照合することにしました。,クマ・襲われた人・照合者,two gloved Japanese hands in white lab-coat sleeves hold two small clear sample tubes with plain white caps side by side,クマ、襲われた人、襲撃の場面,照合者の手と試験管は描かれていますが、ナレーションに登場するクマと襲われた人、襲撃の場面は描かれていません。
ASSET-095,FAIL,すると、遺伝子がぴったり一致したのです。,遺伝子の一致,該当なし,一致した遺伝子の型,キャラプロンプトの紙は無地で、一致するDNAの型は編集者指示で後から重ねる指定のため、プロンプトの絵には主題が描かれていません。
ASSET-096,FAIL,つまり、今回襲われた45歳の女性と、去年襲われた52歳の女性は、同じクマによる犯行ということになります。,45歳の女性・52歳の女性・クマ,A single adult male Hokkaido brown bear (Ursus arctos yesoensis) about 2 metres long and roughly 150 to 250 kilograms emerging ON ALL FOURS from the shadowed edge of a forest,45歳の女性と52歳の女性がプロンプトの絵に描かれていない。,"ナレーションに登場する2人の女性は編集者指示で追加されるだけで、生成プロンプトは「No people, no figures, no humans visible.」と指定している。"
