id,verdict,narration,subject,evidence,missing,reason
ASSET-161,FAIL,手がかりになる特徴は、足跡から判明したオスのクマで前足の幅が14センチということ。,オスのクマ・前足幅,"No bear anywhere in the frame, no animal visible.",オスのクマ,足跡と前足幅は描かれていますが、ナレーションに登場するオスのクマは描かれていません。
ASSET-162,FAIL,そして、鼻には男性がつけたナタの傷が残っている可能性が高いと考えられていました。,男性・ヒグマ・鼻の傷,"its muzzle shows no visible mark, nothing red and nothing stained.",ヒグマの鼻に残るナタの傷,男性とヒグマは描かれていますが、主題であるヒグマの鼻の傷は描かれていません。
ASSET-167,FAIL,捜索が続く中、ハンターでもある町職員の八木忠義（ただよし）さんが、クマの行動について「多くのクマは人に気付くと避けていく。このクマは2年前の遭遇事故を機に、人を獲物と認識するようになったのか」と語っています。,八木忠義・クマ・人,A full-body Japanese male town official in his 40s,多くのクマ、このクマ、クマが避ける・獲物と認識する人が描かれていない。,八木さんは描かれているが、クマは机上の写真だけで、人も八木さん以外には登場しない。
ASSET-168,FAIL,地域で暮らす元漁師、岡部秀隆（ひでたか）さん（86歳）も、「人が減り、年寄りばかりになって奥の畑まで手入れができなくなった。荒れた場所に山菜が生え、クマが来やすくなったのかもしれない」と、近年のクマ被害について話していたとのこと。,岡部秀隆さん・高齢住民・クマ,A full-body Japanese former fisherman aged 86,クマと、岡部さん以外の地域の高齢住民が描かれていない。,ナレーションに登場する岡部さんは描かれているが、クマと地域の高齢住民はプロンプトに登場しない。
ASSET-169,FAIL,またこの時期は、どうしても裏山の畑へ出かけないといけない場合は、クマ対策として、ラジオや爆竹などの鳴り物が欠かせない状況でした。,住民・クマ・鳴り物,He holds a small portable radio up in his right hand and a small red packet of firecrackers in his left hand,クマが描かれていない,住民と鳴り物は描かれているが、ナレーションに出るクマはプロンプトに登場しない。
ASSET-170,FAIL,町全体が「新たな被害者を出してはならない」として、クマには細心の注意を払っていたのです。,町全体・クマ,Exactly three full-body Japanese men standing side by side in a loose row,クマが描かれていない,町の人々を表す3人は描かれていますが、ナレーションに登場するクマはプロンプトの絵に現れません。
ASSET-174,FAIL,捜索隊は日によって2人から10人ほどでした。,捜索隊の人数,Exactly two full-body Japanese hunters walking side by side toward the viewer at a slight three-quarter angle,3〜10人で捜索する日の隊員,ナレーションにある2〜10人という人数の幅に対し、プロンプトに描かれる人物は2人だけです。
ASSET-175,PASS,昨年は現場近くを探していましたが、今回はさらに広い範囲での捜索となりました。,ハンター・広域捜索,He holds a pair of binoculars lowered to his chest with both hands; A vast panorama of forested ridges and deep valleys rolling away to the horizon,,捜索者であるハンターと広い捜索範囲が描かれており、捜索範囲の比較という主題に対応している。
ASSET-176,FAIL,しかし、それでもクマは見つかりません、、,クマ,"No animal visible, no footprints.",クマ,ナレーションの主題であるクマが描かれておらず、ハンターの反応と空の風景で代替しているため。
ASSET-177,PASS,北海道によるクマの問題行動の分類によると、このクマは最も有害性が高い「段階3」と認定されました。,段階3のクマ,"a large printed telephoto photograph of an adult male Hokkaido brown bear about 2 metres long and roughly 150 to 250 kilograms, ON ALL FOURS",,ナレーションに登場するクマが背景の写真に描かれ、分類の「段階3」は編集者指示のテロップで示されます。
ASSET-178,PASS,町内のコンビニや民宿などにも200枚ほどのビラが配られ、,ビラの配布,He hugs a thick stack of plain white leaflets against his chest with both arms,,ビラを抱えてコンビニのカウンターへ急ぐ職員が描かれ、配布の場面が見える。
ASSET-179,PASS,そこには「人を恐れないクマがいる」と書かれていたとのこと。,ビラの記述・クマ,one white leaflet pinned in the middle of the board showing only a large photograph of an adult Hokkaido brown bear about 2 metres long,,ナレーションの主題は掲示された記述であり、ビラとクマの写真が描かれ、文言も編集者指示でビラに重ねられる。
ASSET-181,FAIL,クマの捜索と並行して、せたな町は別の方法でもクマを探し始めていました。,せたな町・クマ・捜索,該当なし,クマ,研究者と研究室の机は描かれていますが、ナレーションに登場するクマがプロンプトに描かれていません。
ASSET-182,FAIL,せたな町以外で捕獲されていたクマのDNA鑑定を専門家に依頼したのです。,町職員・専門家・クマ,a male town official in his 40s ... holding out a small sealed clear sample bag with both hands; a female researcher in her 40s ... reaching out with one hand to take the bag,せたな町以外で捕獲されたクマ,依頼する職員と受ける研究者は描かれていますが、ナレーションに登場するクマは試料袋で代替され、絵に描かれていません。
ASSET-184,FAIL,対象はせたな町と近隣の町で、前年に駆除された20頭。,駆除された20頭のクマ,該当なし,前年に駆除された20頭のクマ,研究者と試料管は描かれているが、ナレーションの主題であるクマは描かれていない。
ASSET-185,PASS,専門家は快くこの依頼を承諾し、早速、DNA鑑定を進めることに。,専門家・DNA鑑定,A full-body Japanese female researcher in her 40s ... She holds a laboratory pipette upright in her right hand and a small capped sample tube in her left hand,,専門家本人がピペットと試料を持ち、DNA鑑定に取りかかる姿が描かれている。
ASSET-187,FAIL,なんと、20頭のうちの1頭の遺伝子が、探していたクマと一致したのです。,20頭のクマ・探していたクマ・遺伝子の一致,該当なし,20頭のクマと、探していたクマが描かれていない。,封筒と研究者の反応で、ナレーションの主題であるクマを代替しているため。
ASSET-191,FAIL,設置されていた箱わなにかかり、ハンターによって駆除されたとのこと。,クマ・ハンター・捕獲と駆除,An empty steel box trap for bears,箱わなに捕獲され、駆除されたクマが描かれていない。,ハンターは描かれているが、箱わなは空で、捕獲・駆除されたクマが絵に見えない。
ASSET-196,FAIL,せたな町の担当者は、春先は雪解けが早く餌のある海側で過ごし、夏に内陸へ移ったのではないかと分析しています。,町の担当者・クマ,A full-body Japanese male town official in his 40s with short black hair,クマ,町の担当者は描かれていますが、ナレーションに登場するクマはキャラプロンプトにも背景プロンプトにも描かれていません。
ASSET-197,PASS,こうして2015年4月23日、公式にDNAが一致したという鑑定結果を公表。,DNA一致の鑑定結果の公表,"He holds a plain brown envelope up at shoulder height in his right hand, eyebrows raised high, eyes wide and shining, mouth open as he announces loudly",,町の職員が結果の封筒を掲げて発表する場面が描かれ、編集者指示でも公表内容が示されている。
ASSET-198,FAIL,せたな町は、正式に実施していたクマの捜索を打ち切りとなり、,クマ・捜索打ち切り,"He holds a packed backpack by its top handle in his right hand, his shoulders dropping, eyebrows raised and relaxed in the middle, eyes squeezed shut, mouth open in a big long sigh",クマが描かれていない,ナレーションに登場するクマがプロンプトの絵におらず、ハンターの反応で代替しているため。
