[00:00:00] 2023年5月14日北海道のシュナ子
[00:00:06] この湖ではひグが目撃され釣りは中止され
[00:00:09] ていました。にも関わらずこの日釣りは
[00:00:14] 再開されていたのです。10年通っている
[00:00:17] ベテラン男性が1番奥のポイントでたった
[00:00:21] 1人船を降り数時間後。迎えの船が戻ると
[00:00:26] 男性の姿はどこにもありません。代わりに
[00:00:29] いたのは男性の衣服を加えた一等のひでし
[00:00:33] た。なぜ中止された釣りはたった5日で
[00:00:37] 再開されたのか。そして衣服を加えた熊は
[00:00:42] 何を意味していたのか。地刑図と共に解説
[00:00:45] します。
[00:00:48] 船を降りた男性は西川俊さん。54歳。
[00:00:53] 北海道おつく地方から片道数時間かけて
[00:00:57] この湖に通う常連です。西川さんの父親が
[00:01:02] 釣りバカというのでしょうか。少しでも暇
[00:01:05] があればほぼへ釣りに出かけるほどでした
[00:01:09] と話すほど釣りが大好きな人物。今回西川
[00:01:14] さんが求めていたのは伊東国内最大級の
[00:01:18] 炭水魚で幻の魚とも呼ばれる魚です。
[00:01:23] かつては北海道の各地にいましたが、川の
[00:01:26] 環境が変わり、その数は激減。今では限ら
[00:01:30] れた場所でしか出会えない。まさに幻の
[00:01:33] 存在となりました。その貴重な伊東が
[00:01:37] まとまって狙える数少ない正位置。それが
[00:01:40] この閉まりない子でした。
[00:01:43] 1匹の伊東を釣り上げるために何年も通い
[00:01:46] 続ける人もいるほど釣り人にとってこの湖
[00:01:50] はそれほどの価値を持つ場所だったのです
[00:01:52] 。
[00:01:54] 湖では西川さんをう釣り仲間も多くその
[00:01:58] 腕前と人柄から神様とまで呼ばれていまし
[00:02:01] た。10年以上湖のを誰よりも知り尽くし
[00:02:06] た常連。そんな人物がこの日命を落とす
[00:02:10] ことになるとは湖にいた誰1人想像してい
[00:02:13] なかったはずです。
[00:02:16] 2023年5月14日曜日
[00:02:20] 午前5時まだ空気の冷たい早朝でした。
[00:02:24] 閉まりナ子は北海道の中でも特に寒い場所
[00:02:28] です。この日、伊藤を狙う釣り人、およそ
[00:02:31] 10人がガイドの私船に乗り込みます。
[00:02:35] しま子の伊東釣りには独特のルールがあり
[00:02:38] ました。それは騎士の道が整っていない
[00:02:42] ため、釣り人はガイドの船でそれぞれの
[00:02:45] 釣り場まで送り届けてもらうということ。
[00:02:49] 船は釣り人を1人、また1人と湖の
[00:02:52] あちこちの騎士に下ろしていきます。
[00:02:55] そして決めておいた時間になるとまた1人
[00:02:58] ずつ迎えに戻ってくる。広大な湖に釣り人
[00:03:02] が点々と散らばる。それがこの湖の
[00:03:06] 伊東釣りの光景でした。
[00:03:09] 西川さんが向かったのは湖の東側の奥
[00:03:13] 生子小沢と呼ばれる岸部のポイントでした
[00:03:16] 。船つき場からはおよそ6km。湖の中で
[00:03:21] も最もおまった場所の1つです。
[00:03:25] 午前6時前、西川さんは生子沢の騎士に
[00:03:28] 降り立ちます。この地点で船を降りたのは
[00:03:32] 西川さんただ1人でした。この後向えの船
[00:03:37] が戻ってくるまでおよそ4時間半。大物の
[00:03:40] 伊東がいつ食いついてくれかその1点だけ
[00:03:44] に集中していたことでしょう。しかしそこ
[00:03:47] から先西川さんを見たものは誰1人いませ
[00:03:50] んでした。
[00:03:52] まりない子には西川さん以外にも大勢の
[00:03:55] 釣り人がいました。三卵期の5月は
[00:03:59] 伊東釣りの再世期。全国から釣り人が
[00:04:02] 集まる1年で最も賑わう季節です。釣り人
[00:04:07] の多くは前浜やキャンプ場に近い、比較的
[00:04:10] 開けた場所で釣りをしていました。何か
[00:04:13] あればすぐに声が届く距離感。一方、西川
[00:04:18] さんが立っていた生沢は湖の東の1番奥。
[00:04:23] 何かが起きても気づいてくれる人が誰もい
[00:04:26] ない場所です。
[00:04:28] 実は閉まりない子の釣りですが、驚くこと
[00:04:31] に西川さんが訪れる前日まで釣りが中止さ
[00:04:34] れていたことが判明しています。その理由
[00:04:38] はひグの出没。5月9日に釣り人がひグを
[00:04:43] 目撃し通報。人を見ても逃げない人を恐れ
[00:04:47] ないひグだったと言います。この通報を
[00:04:51] 受けてしま子では釣り人を騎士に上陸さ
[00:04:54] せることを一旦中止と判断。ただこの時期
[00:04:58] は伊東の三卵期であり釣りのベスト
[00:05:01] シーズンです。お客さんがこぞってやって
[00:05:04] くる大切な時期。そういった事情もあり
[00:05:07] 結局5月9日に中止された釣りは5日後の
[00:05:11] 14日には再開されることとなりました。
[00:05:15] 午前10時半頃、ガイドの船が西川さんを
[00:05:19] 迎えに小沢へ戻ってきました。しかし西川
[00:05:23] さんの姿はどこにもありません。大物が
[00:05:26] かかって夢中になっているのか、少し奥へ
[00:05:29] 移動したのか。そう思った次の瞬間、船の
[00:05:34] 上のスタッフは信じられない光景を目にし
[00:05:36] ます。なんと岸辺に一等のひグがいたの
[00:05:40] です。さらによく見ると熊は口に何かを
[00:05:44] 加えていました。その正体は釣り人が水に
[00:05:49] 入るために履くドナだったのです。先ほど
[00:05:52] までそのドーナは西川さんが身につけてい
[00:05:55] たはずでした。また岸の周辺には点々と熊
[00:06:00] の足跡と大量の血の後すぐさま状況を理解
[00:06:04] した船の上のスタッフは釣り人が熊に襲わ
[00:06:08] れたかもしれないと警察に通報。静かな
[00:06:12] 伊藤釣りの朝が一変した瞬間でした。
[00:06:16] 危険にさらされていたのは西川さん1人で
[00:06:19] はありません。この時湖のあちこちの騎士
[00:06:22] にはまだ大勢の釣り人が残されていたの
[00:06:25] です。人を襲った熊が今どこにいるか
[00:06:29] 分からない。次に狙われるのが誰なのかも
[00:06:32] 分かりません。運営側は湖中の釣り人を
[00:06:37] 大急ぎで船に回収していきます。なんとか
[00:06:40] 無事に全員が船に引き上げられ、広い湖
[00:06:43] から1人残らず人の姿が消えました。
[00:06:47] たった1等のひグが日本最大級の湖を
[00:06:51] 丸ごと封鎖してしまったのです。
[00:06:54] 通報を受け警察と地元のハンターが
[00:06:57] 動き出します。しかし救助は簡単ではあり
[00:07:01] ませんでした。現場は車の入れない湖の奥
[00:07:05] の岸辺。たどり着くには船で渡るしかあり
[00:07:08] ません。
[00:07:10] そして何より恐ろしい問題がありました。
[00:07:14] それは西川さんを襲ったと見られる日が
[00:07:17] まだその場にとまっている可能性が高かっ
[00:07:20] たのです。
[00:07:22] 北海道野生動物研究所の角正明所長はひグ
[00:07:27] は一度手に入れた獲物に強く執着すると
[00:07:29] 説明しています。仕留めたものに草や土を
[00:07:33] かけて隠しそのそばを離れようとしない。
[00:07:37] 近づくものがいれば獲物を守るために今度
[00:07:40] はその相手に向かってくる。つまり捜索隊
[00:07:44] が不要因に近づけば次に襲われるのは隊員
[00:07:47] 自身だったのです。1秒でも早く西川さん
[00:07:51] の元へ向かいたい。それでも虹被害だけは
[00:07:55] 絶対に出せません。悩んだ末えこの日は
[00:07:59] これ以上の捜索は危険と判断。本格的な
[00:08:03] 捜索は翌日に持ち越されました。
[00:08:07] 翌日、5月15日、午前8時過ぎ、15人
[00:08:12] のハンターを中心とした捜索隊が生子沢に
[00:08:15] 入ります。熊がまだ近くにいる。それを
[00:08:19] 前提に銃を構えたハンターが戦頭に立ち
[00:08:22] ました。騎士を進むと点々と続く地の後。
[00:08:27] そして西川さんのものと見られる釣り竿
[00:08:30] 救名同意。つい数時間前まで大物の伊東を
[00:08:34] 夢見て準備された道具が無惨に散らばって
[00:08:37] いました。さらに捜索を進めた午後1時頃
[00:08:41] 、捜索体は西川さんの体の一部を発見し
[00:08:44] ます。それは草が被せられた状態でした。
[00:08:49] 顔の損傷は激しく1目では男女の区別すら
[00:08:53] つかない状態。見た目で本人だと確かめる
[00:08:56] ことはできません。身元の手がかりになっ
[00:09:00] たのは衣服のポケットに残されていた1枚
[00:09:03] の運転免許証でした。創作と並行して原因
