id,verdict,narration,subject,evidence,missing,reason
ASSET-161,PASS,手がかりになる特徴は、足跡から判明したオスのクマで前足の幅が14センチということ。,オスのクマの前足幅,"One large fresh forepaw print of an adult male Hokkaido brown bear, ... a broad pad about 14 centimetres wide",,ナレーションの主題である足跡から分かる前足幅14センチが、プロンプトに描かれている。
ASSET-162,PASS,そして、鼻には男性がつけたナタの傷が残っている可能性が高いと考えられていました。,男性・ヒグマ・鼻の傷,「A full-body Japanese local hunter in his 60s」「Across the top of its muzzle runs one clearly visible old healed scar: a pale diagonal line」,,男性のハンターと、鼻に古い傷のあるヒグマがともに描かれている。
ASSET-167,FAIL,捜索が続く中、ハンターでもある町職員の八木忠義（ただよし）さんが、クマの行動について「多くのクマは人に気付くと避けていく。このクマは2年前の遭遇事故を機に、人を獲物と認識するようになったのか」と語っています。,八木忠義・クマ・人,"A full-body Japanese male town official in his 40s with short black hair, a navy work jacket",多くのクマと、2年前の遭遇事故に関わるこのクマの姿,八木さんは描かれていますが、クマは机上の写真だけで、ナレーションの動物そのものが描かれていません。
ASSET-168,FAIL,地域で暮らす元漁師、岡部秀隆（ひでたか）さん（86歳）も、「人が減り、年寄りばかりになって奥の畑まで手入れができなくなった。荒れた場所に山菜が生え、クマが来やすくなったのかもしれない」と、近年のクマ被害について話していたとのこと。,岡部さん・クマ・荒れた畑,"A full-body Japanese former fisherman aged 86／An abandoned, overgrown hillside field",クマが描かれていない。,ナレーションに登場する岡部さんとクマのうち、プロンプトに描かれるのは岡部さんだけである。
ASSET-169,FAIL,またこの時期は、どうしても裏山の畑へ出かけないといけない場合は、クマ対策として、ラジオや爆竹などの鳴り物が欠かせない状況でした。,住民・クマ・鳴り物,an elderly Japanese man in a beige work jacket walks slowly uphill holding up a small portable radio in one hand and a red packet of firecrackers in the other,クマ,住民と鳴り物は描かれていますが、ナレーションに出るクマはプロンプトに登場しません。
ASSET-170,FAIL,町全体が「新たな被害者を出してはならない」として、クマには細心の注意を払っていたのです。,町全体・クマ,Exactly three full-body Japanese men standing side by side in a loose row,クマが描かれていない,町を代表する3人は描かれているが、ナレーションに登場するクマは山への警戒で代替されている。
ASSET-174,FAIL,捜索隊は日によって2人から10人ほどでした。,捜索隊・人数,"Exactly two full-body Japanese hunters walking side by side toward the viewer at a slight three-quarter angle, both faces clearly visible.",3〜10人で捜索する隊員の姿,ナレーションが述べる2〜10人の人数幅に対し、プロンプトに描かれる人物は2人だけです。
ASSET-175,PASS,昨年は現場近くを探していましたが、今回はさらに広い範囲での捜索となりました。,捜索隊・広い捜索範囲,"On a bare ridge in the lower third of the frame, a tiny single file of five Japanese searchers in blaze-orange vests walks along the ridgeline, very small against the enormous forest, no face visible.",,ナレーションの主語である捜索隊が描かれ、広い範囲での捜索も山林の広がりで示されている。
ASSET-176,FAIL,しかし、それでもクマは見つかりません、、,クマ,該当なし,クマ,ナレーションの主題であるクマが描かれず、ハンターの反応と空の風景で代替されている。
ASSET-177,PASS,北海道によるクマの問題行動の分類によると、このクマは最も有害性が高い「段階3」と認定されました。,このクマ・段階3の認定,"a large printed telephoto photograph of an adult male Hokkaido brown bear about 2 metres long and roughly 150 to 250 kilograms, ON ALL FOURS",,ナレーションに出る動物はクマであり、背景の写真にその姿が描かれ、認定された段階3は編集者指示のテロップで示される。
ASSET-178,FAIL,町内のコンビニや民宿などにも200枚ほどのビラが配られ、,ビラの配布,"a hand in a navy work-jacket sleeve enters the frame, sets down a fresh stack of warning leaflets with a bear photograph beside the first stack, then slides one leaflet forward across the counter.",配布先の民宿が描かれていない,コンビニでビラを配る場面は描かれているが、ナレーションに出る民宿は登場しない。
ASSET-179,PASS,そこには「人を恐れないクマがいる」と書かれていたとのこと。,ビラの記述,ビラの上に「人を恐れないクマがいる」を白字で重ね、「恐れない」だけ赤字。,,ナレーションの主題であるビラの記述が、編集者指示で画面上に示されている。
ASSET-181,FAIL,クマの捜索と並行して、せたな町は別の方法でもクマを探し始めていました。,せたな町・クマ,該当なし,クマ、せたな町の担当者,プロンプトに研究者は描かれていますが、ナレーションでクマを探す主体であるせたな町の担当者と、捜索対象のクマは描かれていません。
ASSET-182,FAIL,せたな町以外で捕獲されていたクマのDNA鑑定を専門家に依頼したのです。,町の職員・専門家・捕獲されたクマ,a male town official in his 40s ... holding out a small sealed clear sample bag with both hands; a female researcher in her 40s ... reaching out with one hand to take the bag,町外で捕獲されたクマ,依頼する職員と受ける研究者は描かれていますが、ナレーションに登場する捕獲されたクマは試料袋で代替され、絵に登場しません。
ASSET-184,FAIL,対象はせたな町と近隣の町で、前年に駆除された20頭。,駆除された20頭のクマ,該当なし,駆除されたクマ20頭,試料管と研究者は描かれているが、ナレーションの主題である駆除されたクマは描かれていない。
ASSET-185,PASS,専門家は快くこの依頼を承諾し、早速、DNA鑑定を進めることに。,専門家・DNA鑑定,2本の試料を置いた机で、ピペットを手に鑑定に取りかかる研究者（CHAR-07）。,,ナレーションの人物である専門家が、試料とピペットを使って鑑定に取りかかる姿として描かれている。
