id,verdict,narration,subject,evidence,missing,reason
ASSET-051,FAIL,地区長を通じて、住民への注意も徹底することになりました。,地区長・住民・注意喚起,「キャラは既存の ASSET-051_char.png（057と同じ地区長）を使い」,住民が描かれていない,"地区長のキャラは指定されているが、背景は「No people, no figures, no humans visible」で、住民を描く指定がない。"
ASSET-053,FAIL,民家と山の境目に茂ったササを刈り、視界を良くすることでクマが家へ近づきにくくしたのです。,作業員・ササ・クマ,a wide freshly cut strip where tall bamboo grass has been mown down to short stubble,クマが描かれていない,刈られたササと既存キャラの作業員は登場するが、ナレーションに出るクマがプロンプトの絵に登場しない。
ASSET-054,FAIL,また、小中学生を乗せたスクールバスは、家の玄関まで送り迎えするようにしました。,小中学生・スクールバス・玄関送迎,家の玄関先に止まったスクールバス。キャラは既存の ASSET-054_char.png（ランドセルの小学生）を使い,中学生と、バスに乗っている小中学生,小学生は既存キャラで描かれますが、中学生は登場せず、小中学生を乗せたバスも描かれていません。
ASSET-055,FAIL,そして、少しでも情報を集めるため、クマを見たときだけの連絡だけでなく、,クマ・目撃者・情報収集,He presses a corded telephone handset to his right ear and holds a plain clipboard with a pen in his left hand,クマと、クマを見て連絡する目撃者,情報を集める職員は描かれているが、ナレーションに出るクマと目撃者は描かれていない。
ASSET-058,FAIL,一方、クマの捕獲のために動いていた猟友会からは、ハンターの高齢化を心配する声も多く寄せられました。,猟友会のハンター・クマ,Three aging Japanese hunters in their late 60s and 70s getting ready at the gravel entrance of a forest road near Setana,クマが描かれていない,高齢のハンター3人は描かれているが、ナレーションに登場するクマはプロンプトに登場しない。
ASSET-059,PASS,そのため、町は新たなハンターを増やすべく、2013年から狩猟免許や猟銃の購入など、ハンター活動に必要な資金の一部を負担することに決定。,町・新たなハンター・費用負担,"a male town official in his 40s with short black hair, a navy work jacket, a light blue shirt, grey trousers and black shoes, holding out one plain blank sheet of paper with both hands; a young hunter in his 30s with short black hair, a dark green cap, a dark green field jacket under a blaze-orange safety vest, khaki trousers and brown boots, reaching for the paper with both hands",,町の職員と若いハンターが費用負担に関わる書類を受け渡す姿で描かれている。
ASSET-060,FAIL,こうした取り組みを必死ですすめていましたが、人を襲ったクマは結局、誰も捕まえることはできませんでした。,襲われた人・クマ・捕獲者,該当なし,人を襲ったクマと、襲われた人が描かれていない。,ハンターと空の箱わなは描かれているが、ナレーションに登場するクマと襲われた人は絵にいない。
ASSET-066,PASS,山へ入ったのは、45歳の女性と63歳の知人男性。,45歳の女性・63歳の知人男性,"Exactly two full-body Japanese figures side by side, walking toward the viewer at a slight three-quarter angle, both faces clearly visible.",,女性と男性の2人が、山へ入る場面のキャラとして描かれている。
ASSET-067,PASS,2人は、ギョウジャニンニクを採りに来ていました。,2人・ギョウジャニンニク採取,"Two Japanese hands pick it at the same time: on the left a woman's hand in a MAROON jacket sleeve, on the right a man's hand in a grey jacket sleeve",,2人の手がギョウジャニンニクを摘む場面として描かれている。
ASSET-068,PASS,ギョウジャニンニクは1キロ2000円ほどで売れるので、,ギョウジャニンニク・販売価格,She holds up a big bundle of wild garlic with broad green leaves and reddish stems in both hands,,主題のギョウジャニンニクが描かれ、価格は編集者指示のテロップで示される。
