年月日|都道府県|市町村・場所|場所の性格|被害者|行動|結果|B根拠|C根拠|JBN冊子ページ・節|照合キー
1970-07（日不明）|北海道|日高山脈（市町村不明）|山中|3人死亡・男子学生／年齢不明|ワンダーフォーゲル部の山行|死亡3人|○：大学生と記載|○：大学同好会の山行|pp.40–41 §1.4|福岡大
1999-05-08・11|北海道|木古内町大川・チリチリ川|沢・国有林入口の林道|3人：男性47歳、女性50歳・39歳／職業不明|男性は釣り、女性2人は山菜採り|死亡1人・重傷2人|不明：§1.3事例5に職業記載なし|○：釣り・山菜採りに訪れた|pp.36–37 §1.3事例5|木古内
2001-04-18|北海道|白糠町御札部国有林|沢沿い斜面|1人：女性42歳／職業不明|ギョウジャニンニク採り|死亡|不明：§1.3事例3に職業記載なし|○：同行者と山菜採りに入林|pp.34–35 §1.3事例3|
2004-11-26|北海道|新冠町岩清水国有林|山林・送電線脇|2人：男性65歳・67歳／狩猟者|碍子点検に同行後、ヒグマに発砲し追跡|重傷2人|×：両被害者が狩猟者|×：点検同行・捕獲作業|pp.39–40 §1.3事例7|
2006-10（日不明）|北海道|浜中町（詳細不明）|不明（§1.2に詳細なし）|2人：狩猟者／年齢性別不明|ヒグマ捕獲作業|死亡1人・負傷1人（程度不明）|×：死亡者・負傷者とも狩猟者|×：捕獲作業中|p.31 §1.2|
2008-09-17|北海道|標津町茶志骨東浜町・当幌川左岸|河岸|1人：男性58歳／職業不明|夜間にシロザケの密漁に訪れた|死亡（18日）|不明：§1.3事例4に職業記載なし|不明：密漁と記載、釣りか別の採捕法か未記載|pp.35–36 §1.3事例4|
2010-06-05|北海道|帯広市広野町|畑に囲まれた広葉樹林・防風林|1人：女性66歳／職業不明|夫とコゴミ採り|死亡|不明：§1.3事例6に職業記載なし|○：山菜採りのため訪れた|pp.37–39 §1.3事例6|
1988-05（日不明）|山形県|戸沢村神田|山中（詳しい地形不明）|1人：男性61歳／職業不明|タケノコ採り|死亡|不明：§2.5事例1に職業記載なし|○：タケノコ採り中|pp.52–53 §2.5事例1|戸沢村
1988-10（日不明）|山形県|戸沢村神田|不明（§2.5事例1に地形記載なし）|1人：女性59歳／職業不明|クルミ採り|死亡|不明：§2.5事例1に職業記載なし|○：クルミ採り中|pp.52–53 §2.5事例1|戸沢村
1988-10（日不明）|山形県|戸沢村古口|不明（§2.5事例1に地形記載なし）|1人：男性59歳／職業不明|クリ拾い|死亡|不明：§2.5事例1に職業記載なし|○：クリ拾い中|pp.52–53 §2.5事例1|戸沢村
