id,verdict,narration,subject,evidence,missing,reason
ASSET-051,FAIL,地区長を通じて、住民への注意も徹底することになりました。,地区長・住民,キャラは既存の ASSET-051_char.png（057と同じ地区長）を使い,住民,地区長は描かれますが、住民は背景プロンプトで人物を描かない指定のため、絵に登場しません。
ASSET-053,FAIL,民家と山の境目に茂ったササを刈り、視界を良くすることでクマが家へ近づきにくくしたのです。,作業員・クマ・ササ刈り,キャラは既存の ASSET-053_char.png（刈払機の作業員）を使い、雪の写った背景だけ作り直す。,クマ,作業員と刈られたササは描かれますが、ナレーションに登場するクマは描かれていません。
ASSET-054,FAIL,また、小中学生を乗せたスクールバスは、家の玄関まで送り迎えするようにしました。,小中学生・スクールバス・玄関送迎,A small white Japanese school bus stopped right at the front entrance of a rural wooden house near Setana,中学生と、バスに乗った小中学生,既存キャラは小学生1人で、指示ではバスへ歩かせるため、小中学生を乗せた送迎が絵に見えない。
ASSET-055,FAIL,そして、少しでも情報を集めるため、クマを見たときだけの連絡だけでなく、,職員・クマ・連絡者,A full-body Japanese male town official in his 40s,クマと、クマを見て連絡する人が描かれていない,情報を受ける職員は描かれているが、ナレーションに出るクマと目撃して連絡する人は登場しない。
ASSET-056,PASS,足跡やフン、農作物の被害なども見つけたら、すぐに知らせてほしいと、,足跡・フン・農作物の被害,"on the left a Hokkaido brown bear pawprint pressed into damp dark soil with small green shoots, in the middle a pile of bear droppings on dry brown grass, on the right a field of young crop shoots trampled and bitten off.",,ナレーションで挙げた3種類の痕跡と被害が、背景プロンプトにそれぞれ描かれている。
ASSET-058,FAIL,一方、クマの捕獲のために動いていた猟友会からは、ハンターの高齢化を心配する声も多く寄せられました。,クマ・猟友会のハンター・高齢化,Three aging Japanese hunters in their late 60s and 70s getting ready at the gravel entrance of a forest road near Setana,クマが描かれていない,ナレーションに登場するハンターは描かれているが、クマはプロンプトに登場しない。
ASSET-059,PASS,そのため、町は新たなハンターを増やすべく、2013年から狩猟免許や猟銃の購入など、ハンター活動に必要な資金の一部を負担することに決定。,町・ハンター・資金負担,a male town official in his 40s ... holding out one plain blank sheet of paper with both hands; 2) ... a young hunter in his 30s ... reaching for the paper with both hands,,町による費用負担の決定を、町職員が新たなハンターに書類を渡す場面で象徴している。
ASSET-060,FAIL,こうした取り組みを必死ですすめていましたが、人を襲ったクマは結局、誰も捕まえることはできませんでした。,ハンター・クマ・襲われた人,A full-body Japanese local hunter in his 60s,人を襲ったクマと、襲われた人が描かれていない。,ハンターと空の箱わなは描かれていますが、ナレーションに登場するクマと襲われた人が絵にいません。
ASSET-066,PASS,山へ入ったのは、45歳の女性と63歳の知人男性。,45歳の女性・63歳の知人男性,"Exactly two full-body Japanese figures side by side, walking toward the viewer at a slight three-quarter angle, both faces clearly visible.",,ナレーションに登場する女性と知人男性の2人が、キャラプロンプトに描かれている。
ASSET-067,PASS,2人は、ギョウジャニンニクを採りに来ていました。,2人・ギョウジャニンニク採取,"Two Japanese hands pick it at the same time: on the left a woman's hand in a MAROON jacket sleeve, on the right a man's hand in a grey jacket sleeve, a woven basket with a few bundles already inside between them.",,ナレーションに登場する2人が、それぞれの手でギョウジャニンニクを摘む姿として描かれている。
ASSET-068,PASS,ギョウジャニンニクは1キロ2000円ほどで売れるので、,ギョウジャニンニク・販売価格,She holds up a big bundle of wild garlic with broad green leaves and reddish stems in both hands,,主題のギョウジャニンニクが描かれ、価格はテロップで補われる。
ASSET-069,PASS,副収入を得ようとする人が一定数、毎年こうして山に入っていきます。,副収入を求めて山に入る人,キャラは既存の ASSET-069_char.png（カゴを持つ人）を使い、雪の写った背景だけ作り直す。／人を左から山道の入口へ歩かせる,,既存キャラの人物が山道の入口へ歩く姿で、ナレーションの主語と行為が描かれている。
ASSET-070,PASS,林道の入口には、「クマ出没注意」の看板。,林道入口・クマ注意の看板,"A bear warning sign at the entrance of a gravel forest road near Ota in the Taisei district of Setana, southwestern Hokkaido, in early April early spring: a yellow diamond sign on a metal post showing only a black bear pictogram and no words",,ナレーションの主題である林道入口の看板と、看板に示されたクマの絵記号が描かれている。
ASSET-071,FAIL,クマがよく出没する地域として知られていましたが、それでも二人は山へと足を踏み入れて行きました。,クマ・二人,"Exactly two full-body Japanese figures walking toward the viewer at a slight three-quarter angle, both faces clearly visible.",クマ,二人は描かれていますが、クマは看板のピクトグラムで示されるだけで、絵の中に登場しません。
ASSET-074,PASS,山菜採りを終えた2人は、男性を先頭にして下山中でした。,男性・女性・下山,"Two Japanese foragers walk down the trail away from the camera, seen from behind: the man is several steps AHEAD, further down the trail, a Japanese man in his early 60s with short greying hair in a grey field jacket and navy trousers, a canvas bag on his shoulder; the woman follows BEHIND him, closer to the camera, a Japanese woman in her mid 40s in a MAROON field jacket and charcoal trousers with dark hair tied low, a woven basket full of wild garlic on her arm.",,男性が先頭、女性が後ろで下り道を歩く様子が描かれています。
ASSET-078,PASS,そのとき男性が持っていたのは、枝を払うためのナタでした。,男性・ナタ,a Japanese man's right hand in a grey field jacket sleeve gripping a traditional Japanese nata brush-clearing hatchet with a broad rectangular steel blade and a worn wooden handle,,男性の手が枝払い用のナタを握る姿が描かれている。
ASSET-079,PASS,向かってくるクマは、体長およそ2メートル。,向かってくるクマ,An adult male Hokkaido brown bear (Ursus arctos yesoensis) about 2 metres long and roughly 150 to 250 kilograms charging straight toward the camera ON ALL FOURS along a narrow forest trail,,ナレーションの主題である、こちらへ向かってくるクマが描かれている。
