id,verdict,narration,subject,evidence,missing,reason
ASSET-161,FAIL,手がかりになる特徴は、足跡から判明したオスのクマで前足の幅が14センチということ。,オスのクマ・前足幅14センチ,One large fresh forepaw print of an adult male Hokkaido brown bear ... a broad pad about 14 centimetres wide,オスのクマ,足跡と前足幅は描かれているが、ナレーションに登場するクマは「No bear anywhere in the frame」と指定され、絵に登場しない。
ASSET-162,PASS,そして、鼻には男性がつけたナタの傷が残っている可能性が高いと考えられていました。,男性・ヒグマ・鼻の傷,林縁でこちらをにらむヒグマの鼻すじに、ナタでついたとみられる古い傷あと。その手前で自分の鼻を指さして「鼻の傷」を伝えるハンター（CHAR-05）。,,ナレーションに出る男性とヒグマが登場し、主題であるヒグマの鼻の古い傷あとも描かれている。
ASSET-167,FAIL,捜索が続く中、ハンターでもある町職員の八木忠義（ただよし）さんが、クマの行動について「多くのクマは人に気付くと避けていく。このクマは2年前の遭遇事故を機に、人を獲物と認識するようになったのか」と語っています。,八木忠義さん・クマ・人,A full-body Japanese male town official in his 40s ... / several printed telephoto photographs of an adult Hokkaido brown bear about 2 metres long spread on the desk,クマは写真にしか描かれておらず、クマが避ける／獲物と認識する対象の人も描かれていない。,八木さんは描かれているが、ナレーションに登場するクマとその行動に関わる人を、写真と資料で代替している。
ASSET-168,FAIL,地域で暮らす元漁師、岡部秀隆（ひでたか）さん（86歳）も、「人が減り、年寄りばかりになって奥の畑まで手入れができなくなった。荒れた場所に山菜が生え、クマが来やすくなったのかもしれない」と、近年のクマ被害について話していたとのこと。,岡部秀隆さん・クマ,A full-body Japanese former fisherman aged 86,クマが描かれていない,元漁師は描かれているが、ナレーションに登場するクマはプロンプトに登場しない。
ASSET-169,FAIL,またこの時期は、どうしても裏山の畑へ出かけないといけない場合は、クマ対策として、ラジオや爆竹などの鳴り物が欠かせない状況でした。,住民・クマ・鳴り物,an elderly Japanese man in a beige work jacket walks slowly uphill holding up a small portable radio in one hand and a red packet of firecrackers in the other,クマ,住民とラジオ・爆竹は描かれていますが、ナレーションに出るクマは描かれていません。
ASSET-170,FAIL,町全体が「新たな被害者を出してはならない」として、クマには細心の注意を払っていたのです。,町の人々・クマ,Exactly three full-body Japanese men standing side by side in a loose row,クマが描かれていない。,町の職員・住民・ハンターは描かれているが、ナレーションに登場するクマは山への警戒で代替されている。
ASSET-174,FAIL,捜索隊は日によって2人から10人ほどでした。,捜索隊の人数,Exactly two full-body Japanese hunters walking side by side toward the viewer at a slight three-quarter angle,3〜10人の日の捜索隊,プロンプトには2人しか描かれず、ナレーションが述べる人数の幅をテロップだけで補っている。
ASSET-175,PASS,昨年は現場近くを探していましたが、今回はさらに広い範囲での捜索となりました。,捜索隊・広範囲の山林,"On a bare ridge in the lower third of the frame, a tiny single file of five Japanese searchers in blaze-orange vests walks along the ridgeline, very small against the enormous forest, no face visible.",,捜索隊が広大な山林を進む姿が描かれており、捜索範囲の広がりが見える。
ASSET-176,FAIL,しかし、それでもクマは見つかりません、、,クマ,該当なし,クマ,ナレーションの主語であるクマが描かれず、ハンターの反応とクマのいない風景で代替されている。
ASSET-177,PASS,北海道によるクマの問題行動の分類によると、このクマは最も有害性が高い「段階3」と認定されました。,クマ・段階3認定,"a large printed telephoto photograph of an adult male Hokkaido brown bear about 2 metres long and roughly 150 to 250 kilograms, ON ALL FOURS",,ナレーションの対象であるクマが背景の写真に描かれ、段階3の認定は職員の動作とテロップで示される。
ASSET-178,PASS,町内のコンビニや民宿などにも200枚ほどのビラが配られ、,ビラの配布,"a hand in a navy work-jacket sleeve enters the frame, sets down a fresh stack of warning leaflets with a bear photograph beside the first stack, then slides one leaflet forward across the counter.",,ナレーションの主題であるビラの配布が、コンビニのカウンターでビラを置き、差し出す動作として描かれている。
ASSET-179,FAIL,そこには「人を恐れないクマがいる」と書かれていたとのこと。,人を恐れないクマ,該当なし,人を恐れないクマの姿,クマは掲示板のビラの写真にしか描かれず、ナレーションの主題を資料と住民の反応で代替している。
ASSET-181,FAIL,クマの捜索と並行して、せたな町は別の方法でもクマを探し始めていました。,せたな町・クマ,該当なし,クマ,ナレーションに登場するクマが、キャラ・背景のどちらのプロンプトにも描かれていない。
