id,verdict,narration,subject,evidence,missing,reason
ASSET-101,PASS,ちなみに、今回襲われた男女二人組は、クマ避けの鈴を携帯しており、二人で行動していました。,男女二人組・クマ避けの鈴,"Two full-body Japanese hikers walking side by side toward the viewer at a slight three-quarter angle, both faces clearly visible. / a small daypack with a small brass bell for warding off wildlife hanging from its strap / a small daypack with a small brass bell for warding off wildlife",,ナレーションに登場する女性と男性が並んで歩き、二人とも鈴を携帯する姿が描かれている。
ASSET-102,FAIL,通常であれば、この条件でクマが寄ってくる可能性は低いです。,クマの接近,該当なし,クマ,ナレーションに出るクマがプロンプトの絵に描かれていません。
ASSET-104,FAIL,専門家は、積極的に人を襲った可能性が高いヒグマによる事故と捉え、「一度人間を襲ったクマは凶暴性を増す」と指摘しています。,専門家・ヒグマ・襲われた人,A full-body Japanese female researcher in her 40s,ヒグマと襲われた人が描かれていない,研究者は描かれているが、ナレーションに登場するヒグマと襲われた人はプロンプトに登場しない。
ASSET-105,FAIL,町も、今回の事件で極めて危険性が高いと判断し、すぐさまクマ駆除へと動き出します。,町の職員・クマ,"A full-body Japanese male town official in his 40s with short black hair, a navy work jacket, a light blue shirt, grey trousers and black shoes",クマが描かれていない。,ナレーションに登場する町の職員は描かれているが、駆除対象のクマはプロンプトに登場しない。
ASSET-107,PASS,ハンターたちは、現場から半径数キロにわたって捜索を開始。,ハンターたち・捜索,"Two full-body Japanese hunters standing side by side toward the viewer at a slight three-quarter angle, both faces clearly visible. Both are tense and searching, NOT calm, NOT smiling.",,ナレーションの主語であるハンターたち2人が、捜索する姿で描かれている。
ASSET-109,PASS,しかし、草むらが視界を塞ぎ、なかなか思うように探せません。,草むら・ハンター,"He pushes both arms forward as if parting tall grass, eyebrows pulled together and slanted upward, eyes squeezed in frustration, teeth gritted, sweat flying from his temples, frustrated and struggling, NOT calm, NOT smiling. / the grass closing in from both sides, no path visible beyond a few metres",,視界を塞ぐ草むらと、それをかき分けて苦戦するハンターが描かれています。
ASSET-110,PASS,そこで、町は北海道に、防災ヘリの出動を要請。,町・防災ヘリ出動要請,"He presses a corded telephone handset to his right ear and holds a plain blank sheet of paper in his left hand, eyebrows shot up and pulled together, eyes stretched wide, mouth wide open pleading into the phone",,町の職員が電話で出動を要請する姿が描かれている。
ASSET-113,PASS,ハンターと消防署員ら、合わせて26人が捜索に加わります。,ハンター・消防署員・捜索隊26人,"A search party of Japanese hunters and firefighters facing the viewer, front-row faces clearly visible. Behind them, partly hidden by the front row, only heads and shoulders show, drawn a little smaller: more hunters in orange vests and firefighters in white helmets, roughly twenty-six people in all.",,ハンターと消防署員を含む約26人の捜索隊が、プロンプトに描かれている。
ASSET-114,PASS,「きょうこそ仕留めたい」と、ハンターたちは語り、,ハンターたち,"Two full-body Japanese hunters standing side by side facing the viewer, both faces clearly visible.",,ナレーションで語るハンターたちが2人ともキャラプロンプトに描かれている。
ASSET-115,PASS,捜索隊は3班に分かれ、山へ入ります。,捜索隊・3班への分岐,"Three full-body Japanese search-team leaders, each heading off a different way",,捜索隊の3人の先頭役がそれぞれ別の道へ向かう姿として描かれている。
