YouTube transcript
Video ID: 5PdEgCSr1oc
Language: ja
Captions: auto-generated

[0:00] 2012年4月20日
[0:02] 秋田県にあるとあるクマ牧場で
[0:05] 従業員2人がクマに襲われ命を落として
[0:07] しまうという痛ましい事故が起きました
[0:09] なんと
[0:11] 展示されていたクマ数等が牧場内に
[0:13] 逃げ出してしまったのですこの事故は
[0:15] テレビでも特集されたので知っている人も
[0:18] 多いのではないでしょうか今回はそんな
[0:20] クマ事故について
[0:22] 解説していきます事件が起きたのは秋田県
[0:25] 鹿角市にある八万体熊牧場
[0:28] 鹿角市の中心街から南に約30キロ離れた
[0:30] 場所にあり国が保有している森林国有林内
[0:34] に建てられたクマの動物園です近くには
[0:38] 八幡平温泉の温泉施設がいくつか立って
[0:40] おり
[0:41] 牧場に沿うように国道341号が通ってい
[0:44] ます
[0:45] 1987年7月16日にオープンし
[0:48] たくさんの人を楽しませてきましたヒグマ
[0:51] 月のアグマコディアックヒグマの3種類の
[0:55] クマが34頭この牧場で飼育されていまし
[0:57] た
[0:58] 牧場内に販売さているおやつや餌を購入
[1:01] すればクマの餌付けを体験できさらに園内
[1:04] には釣り堀が併設されており
[1:07] 釣りも楽しめるなど動物園でありながら
[1:09] まるでテーマパークのような
[1:11] 観光牧場施設でした
[1:13] 牧場の中には複数の使用状があったそう
[1:15] です
[1:16] 料金もとてもリーズナブルで大人500円
[1:18] 小学生以下だとたったの300円でクマを
[1:21] 間近に感じられる施設となっていました
[1:23] このクマ牧場は一年中オープンしている
[1:26] わけではなく10月から4月の間はクマの
[1:30] 冬眠期間のために閉園していました今回の
[1:32] 事故はその平安中に起きてしまった事故
[1:35] です
[1:36] 悲しいことに従業員2名の命がクマに奪わ
[1:38] れてしまったわけですがこのクマ牧場を
[1:41] 知っている人は口を揃えてあれじゃクマが
[1:44] 人を襲っても仕方ないというほどクマたち
[1:47] は劣悪な環境で飼育されていたのです
[1:50] 被害者は本当に従業員たちだけなの
[1:52] でしょうかそれでは事故の全貌を詳しく
[1:55] 解説していきます2012年4月20日
[1:59] 午前8時ところ従業員3名が春の営業再開
[2:03] に向けて出勤しました3名は事務所で
[2:05] テレビを見ながら30分ほど談笑した後
[2:09] 業務を開始します
[2:10] 男性従業員は通路の除雪作業を残り2人の
[2:14] 女性従業員は餌場でクマに餌を与えてい
[2:16] ました
[2:17] 業務を開始してから約1時間経った午前9
[2:20] 時半頃
[2:21] 除雪作業をしていた男性の耳にクマが逃げ
[2:24] たという女性従業員の叫び声が聞こえてき
[2:27] ましたその叫び声を聞いた男性はすぐに
[2:30] 作業を中断し
[2:32] 餌場で作業をしていた女性従業員のもとに
[2:34] 飛んでいきますするとそこには恐ろしい
[2:37] 光景が広がっていました
[2:39] 叫び声を上げた女性従業員が逃げ出した
[2:42] クマに襲われていたのですそしてその近く
[2:44] にはもう一人の女性従業員が倒れていまし
[2:47] た
[2:48] 男性従業員は倒れている女性従業員に
[2:51] 駆け寄り声をかけますが
[2:53] 返事が返ってくることはありませんでした
[2:54] すぐさま男性従業員は施設の外へと逃げ
[2:58] ますそして経営者に連絡した後
[3:01] 午前10時過ぎに119番通報をしました
[3:04] 通報が入りすぐに警察
[3:07] 救急車そして地元の猟友会会員が現場へ
[3:10] 駆けつけます
[3:11] 警察らはまず国道側から牧場の中の様子を
[3:14] 確認しましたするとそこには目を背けたく
[3:17] なるような恐ろしい光景が女性従業員を
[3:20] 取り合うように引っ張り合うクマの姿
[3:22] そしてその近くにはピクリとも動かない
[3:25] 女性従業員の姿がありましたさらに数頭の
[3:29] クマが運動場の壁を乗り越え屋上内に
[3:32] 逃げ出す瞬間も消防署員が目撃しています
[3:34] まずは女性従業員の救出を優先とし正午
[3:39] 過ぎに県警から地元の領有会に対し
[3:41] 熊野市松命令が下されましたすぐに猟友会
[3:45] 会員数名らによってクマの始末が始まり
[3:47] ます
[3:48] 牧場内に放たれたクマはなんと6頭
[3:51] 猟友会会員らはまず
[3:53] 脱走場所である運動場付近をうろついてい
[3:55] た体長1.5mほどの熊を始末します
