ファイル名	理由
ASSET-009_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-009_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-014_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-014_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-015_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-015_video.mp4	動画を外す（キャラと背景で表す）
ASSET-017_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-019_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-020_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-022_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-023_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-023_still.png	背景を ASSET-023_bg.png の名前で作り直す
ASSET-023_video.mp4	動画を外す（キャラと背景で表す）
ASSET-025_char.png	地図（編集者が作る）に変更
ASSET-025_still.png	地図（編集者が作る）に変更
ASSET-025_video.mp4	地図（編集者が作る）に変更
ASSET-026_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-026_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-026_video.mp4	動画を外す（キャラと背景で表す）
ASSET-027_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-027_video.mp4	動画を外す（キャラと背景で表す）
ASSET-028_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-028_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-030_still.png	地図（編集者が作る）に変更
ASSET-031_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-031_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-031_video.mp4	動画を外す（キャラと背景で表す）
ASSET-032_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-032_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-033_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-033_still.png	背景を ASSET-033_bg.png の名前で作り直す
ASSET-033_video.mp4	動画を外す（キャラと背景で表す）
ASSET-034_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-034_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-036_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-036_video.mp4	動画を外す（キャラと背景で表す）
ASSET-038_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-038_still.png	背景を ASSET-038_bg.png の名前で作り直す
ASSET-038_video.mp4	動画を外す（キャラと背景で表す）
ASSET-039_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-039_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-039_video.mp4	動画を外す（キャラと背景で表す）
ASSET-040_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-041_char.png	キャラをやめて実写にしたので不要
ASSET-043_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-043_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-045_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-045_video.mp4	動画を外す（キャラと背景で表す）
ASSET-047_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-047_video.mp4	動画を外す（キャラと背景で表す）
ASSET-050_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-051_video.mp4	動画を外す（キャラと背景で表す）
ASSET-053_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-053_video.mp4	動画を外す（キャラと背景で表す）
ASSET-054_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-054_video.mp4	動画を外す（キャラと背景で表す）
ASSET-055_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-055_still.png	背景を ASSET-055_bg.png の名前で作り直す
ASSET-056_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-056_video.mp4	動画を外す（キャラと背景で表す）
ASSET-057_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-058_char.png	キャラをやめて実写にしたので不要
ASSET-058_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-058_video.mp4	動画を外す（キャラと背景で表す）
ASSET-059_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-059_still.png	背景は ASSET-055 のものを使うので不要
ASSET-059_video.mp4	動画を外す（キャラと背景で表す）
ASSET-063_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-063_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-064_still.png	地図（編集者が作る）に変更
ASSET-066_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-066_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-066_video.mp4	動画を外す（キャラと背景で表す）
ASSET-067_char.png	キャラをやめて実写にしたので不要
ASSET-067_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-068_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-068_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-068_video.mp4	動画を外す（キャラと背景で表す）
ASSET-069_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-069_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-069_video.mp4	動画を外す（キャラと背景で表す）
ASSET-070_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-071_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-071_still.png	背景は ASSET-070 のものを使うので不要
ASSET-071_video.mp4	動画を外す（キャラと背景で表す）
ASSET-073_still.png	地図（編集者が作る）に変更
ASSET-074_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-074_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-074_video.mp4	動画を外す（キャラと背景で表す）
ASSET-075_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-076_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-077_bg.png	キャラをやめて実写にしたので不要
ASSET-077_char.png	キャラをやめて実写にしたので不要
ASSET-077_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-078_char.png	キャラをやめて実写にしたので不要
ASSET-078_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-078_video.mp4	動画を外す（キャラと背景で表す）
ASSET-079_char.png	キャラをやめて実写にしたので不要
ASSET-080_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-082_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-082_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-083_char.png	キャラをやめて実写にしたので不要
ASSET-083_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-084_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-084_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-084_video.mp4	動画を外す（キャラと背景で表す）
ASSET-085_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-086_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-087_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-087_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-088_still.png	地図（編集者が作る）に変更
ASSET-090_char.png	キャラをやめて実写にしたので不要
ASSET-090_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-090_video.mp4	動画を外す（キャラと背景で表す）
ASSET-091_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-091_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-091_video.mp4	動画を外す（キャラと背景で表す）
ASSET-092_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-092_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-093_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-094_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-094_video.mp4	動画を外す（キャラと背景で表す）
ASSET-095_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-096_char.png	キャラをやめて実写にしたので不要
ASSET-096_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-096_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-101_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-101_still.png	背景を ASSET-101_bg.png の名前で作り直す
ASSET-101_video.mp4	動画を外す（キャラと背景で表す）
ASSET-102_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-102_still.png	背景は ASSET-101 のものを使うので不要
ASSET-102_video.mp4	動画を外す（キャラと背景で表す）
ASSET-103_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-104_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-104_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-105_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-105_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-107_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-107_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-108_still.png	背景を ASSET-108_bg.png の名前で作り直す
ASSET-109_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-110_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-110_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-110_video.mp4	動画を外す（キャラと背景で表す）
ASSET-111_char.png	キャラをやめて実写にしたので不要
ASSET-111_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-111_video.mp4	動画を外す（キャラと背景で表す）
ASSET-113_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-113_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-113_video.mp4	動画を外す（キャラと背景で表す）
ASSET-114_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-114_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-115_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-115_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-115_video.mp4	動画を外す（キャラと背景で表す）
ASSET-117_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-117_still.png	背景は ASSET-114 のものを使うので不要
ASSET-118_char.png	キャラをやめて実写にしたので不要
ASSET-118_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-118_video.mp4	動画を外す（キャラと背景で表す）
ASSET-120_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-120_video.mp4	動画を外す（キャラと背景で表す）
ASSET-121_still.png	作り直す（別のPCで同じ名前で作る）
ASSET-122_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-124_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-124_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-125_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-125_still.png	背景を ASSET-125_bg.png の名前で作り直す
ASSET-125_video.mp4	動画を外す（キャラと背景で表す）
ASSET-126_video.mp4	作り直す（別のPCで同じ名前で作る）
ASSET-128_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-130_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-130_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-132_still.png	背景を ASSET-132_bg.png の名前で作り直す
ASSET-135_bg.png	作り直す（別のPCで同じ名前で作る）
ASSET-135_char.png	作り直す（別のPCで同じ名前で作る）
ASSET-136_char.png	別カットの再利用に変更
ASSET-136_still.png	別カットの再利用に変更
