date|prefecture|location|terrain|victims|activity|outcome|n|source_name|pdf_page|notes|key
2019-07-19|宮城県|気仙沼市関根|捕獲わな周辺|80代男性|捕獲わなの確認|死亡|1|miyagi_plan|38||
2019-07-11|宮城県|蔵王町御釜付近|山中|80代男性|山歩き・写真撮影|負傷（左脚咬傷）|1|miyagi_plan|38|山形県表では写真撮影・重傷。職業写真家との記載なし。|
2004-06-06|宮城県|加美町小野田月崎|渓流|年齢性別不明|渓流釣り|重傷・顔骨折|1|miyagi_plan|36||
2006-08-24|宮城県|仙台市中山台|山中|年齢性別不明|山歩き|重傷|1|miyagi_plan|36||
2010-09-24|宮城県|加美町荒沢自然観|施設周辺（詳しい地形不明）|70代男性|巡回|重症（原資料）|1|miyagi_plan|37||
2013-08-15|宮城県|大崎市岩出山池月|自宅|70代女性|在宅|重傷|1|miyagi_plan|37||
2012-07-26|岐阜県|高山市丹生川町久手|山林|男性・年齢不明|山菜採り|重傷|1|gifu_plan_appendix|15||
2012-11-04|岐阜県|高山市高根町中之宿|捕獲場所|男性・年齢不明|捕獲したクマの止め刺し|重傷|1|gifu_plan_appendix|15||
2014-09-23|岐阜県|白川村荻町|墓地|夫婦・年齢不明|墓参り|軽傷2人|2|gifu_plan_appendix|15||
2014-11-05|岐阜県|高山市丹生川町瓜田|自宅果樹園|男性・年齢不明|果樹園の見回り|死亡|1|gifu_plan_appendix|15||
2014-11-12|岐阜県|高山市丹生川町根方|柿の木付近|夫婦・年齢不明|柿の収穫|軽傷2人|2|gifu_plan_appendix|15||
2014-11-20|岐阜県|高山市城山|公園|男性・年齢不明|散歩|重傷|1|gifu_plan_appendix|15||
2017-04-25|岐阜県|高山市石浦町|生活圏（詳しい地形不明）|男性1人・女性2人／年齢不明|散歩|重傷1人・軽傷2人|3|gifu_plan_appendix|16||
2017-06-22|岐阜県|高山市丹生川町久手|山林|男性・年齢不明|山菜採り|重傷|1|gifu_plan_appendix|16||
2019-06-22|岐阜県|高山市高根町日和田|捕獲場所|男性2人・年齢不明|捕獲作業|負傷2人・程度不明|2|gifu_plan_appendix|16||
2019-07-14|岐阜県|恵那市上矢作町|農地|女性・年齢不明|農作業|重傷|1|gifu_plan_appendix|16||
2019-08-03|岐阜県|恵那市明智町|不明（当該表に地形なし）|男性・年齢不明|散歩|重症（原資料）|1|gifu_plan_appendix|16||
2019-09-25|岐阜県|恵那市上矢作町漆原井沢|山林|男性・年齢不明|キノコ採り|重傷|1|gifu_plan_appendix|16||
2019-09-26|岐阜県|下呂市小川|自宅庭|男性・年齢不明|庭で作業|重傷|1|gifu_plan_appendix|16||
2019-10-08|岐阜県|高山市上野町|農地|男性・年齢不明|農作業|重傷|1|gifu_plan_appendix|16||
2019-10-19|岐阜県|高山市新宮町|捕獲場所|男性・年齢不明|捕獲作業|重傷|1|gifu_plan_appendix|16||
2023-10-22|岐阜県|飛騨市神岡町船津|墓地|男性・年齢不明|墓参り|重傷|1|gifu_plan_appendix|17||
2015-08-02|群馬県|片品村|山中|年齢性別不明2人|登山|負傷2人・程度不明|2|gunma_plan_appendix|8||
2016-10-17|群馬県|片品村東小川|山林|年齢性別不明2人|野生動物調査|負傷2人・程度不明|2|gunma_plan_appendix|8||
2020-09-11|群馬県|川場村中野|河川付近|年齢性別不明2人|釣り|負傷2人・程度不明|2|gunma_plan_appendix|8||
2012-10-13|栃木県|矢板市|牧場|年齢性別不明|牧場での活動（詳細不明）|重傷|1|tochigi_plan|27||
2012-10-19|栃木県|日光市|不明（当該表に地形なし）|年齢性別不明|観光|重傷|1|tochigi_plan|27||
2013-07-26|栃木県|塩谷町|不明（当該表に地形なし）|年齢性別不明|キノコ採り|重傷|1|tochigi_plan|27||
2015-06-11|栃木県|那須塩原市|不明（当該表に地形なし）|年齢性別不明|山菜採り|重傷|1|tochigi_plan|27||
2017-06-12|栃木県|佐野市|山中|年齢性別不明|登山|重傷|1|tochigi_plan|27||
2020-08-14|栃木県|鹿沼市|不明（当該表に地形なし）|年齢性別不明|観光|重傷|1|tochigi_plan|27||
2022-07-24|栃木県|鹿沼市|山中|年齢性別不明|登山|重傷|1|tochigi_plan|27||
2024-06-25|青森県|青森市荒川字南荒川山・八甲田|山中|80代女性|知人男性とタケノコ採り|死亡|1|aomori_death2024|0|同行男性の受傷記載なし。|
2021-10（日不明）|青森県|平川市碇ケ関地区|不明（記事の過去事例記述は散歩まで）|70代男性|散歩|死亡|1|aomori_death2024|0|2024年の現地紙による過去事例言及。詳細な同時代資料は未確認。|
2026-06-29（発見）|青森県|青森市八甲田山系|山中|男性63歳|6月28日にタケノコ採りで入山|死亡（クマに襲われたとみられる）|1|aomori_death2026|0||
2026-05-05（発見）|山形県|酒田市（詳しい地名未記載）|山中|男性78歳|山菜採り|死亡|1|yamagata_death2026_news_full|0|県は5月25日にクマ被害による死亡と発表。山菜採りは県発表で確認。|
2025-06-22|長野県|大町市八坂|集落から山側に入った山林・竹やぶ|男性46歳・70歳|タケノコ採り、70歳男性は同行者を救助|46歳男性死亡・70歳男性負傷（程度不明）|2|nagano_death2025|0||
2025-10-03|宮城県|栗原市栗駒文字|山林|70代女性|4人グループでキノコ狩り|死亡|1|miyagi_death2025|0|県の当日発表時点は負傷、死亡は環境省2025年度事故概要で確認。同行者は被害人数に算入しない。|
2010-05-30（発見）|福島県|喜多方市|山林|男性70歳|5月29日から山菜採り|死亡（県警はクマに襲われたとみる）|1|fukushima_death2010|0||
2024-10-01（発見）|福島県|昭和村|山林|男性48歳／会社員|9月29日から外出、以前キノコ採りに訪れた場所で車発見|死亡（記事時点はクマ被害の可能性）|1|fukushima_death2024|0|当日の活動目的は記事のみでは断定しない。|
2022-07-27|福島県|会津若松市門田町御山|畑近くの竹やぶ|女性89歳／無職|畑で農作業|死亡（警察はクマ被害とみる）|1|fukushima_death2022|0|公開された第1・2段落の範囲。|
2013-05-27・28|福島県|会津美里町西本・明神ケ岳東面|山中|男性78歳、救助・捜索者4人（うち警官2人／他の年齢性別職業不明）|男性は山菜採り、翌日4人が捜索|死亡1人・重軽傷4人|5|aizumisato2013_yomiuri|0|一般の山菜採りの死亡者を中心とする。捜索者が含まれるだけで全体をB除外にしない。|
2017-05-02|福島県|会津美里町松岸|山林・沢|男性・年齢不明|山菜採り|重傷・右足咬傷|1|aizumisato2013_yomiuri|0||
2016-05-21（発見）|秋田県|鹿角市十和田大湯・熊取平（第1現場）|山林|男性60〜70代（個別年齢未特定）|タケノコ採り|死亡|1|towari_expert1|0|一連の4死亡事例を発見日別に記載。加害個体の同一性は確定しない。|十和利
2016-05-22（発見）|秋田県|鹿角市十和田大湯・熊取平（第2現場）|山林|男性60〜70代（個別年齢未特定）|タケノコ採り|死亡|1|towari_expert1|0|一連の4死亡事例を発見日別に記載。|十和利
2016-05-30（発見）|秋田県|鹿角市十和田大湯・田代平（第3現場）|山林|男性60〜70代（個別年齢未特定）|タケノコ採り|死亡|1|towari_expert1|0|一連の4死亡事例を発見日別に記載。|十和利
2016-06-10（発見）|秋田県|鹿角市十和田大湯（第4現場）|山林|70代女性|タケノコ採り|死亡|1|towari_expert1|0|一連の4死亡事例を発見日別に記載。|十和利
2016-05-25|秋田県|鹿角市十和田大湯・十和利山南麓|山林|60代男性|タケノコ採り|軽傷（研究者報告に基づく）|1|towari_expert3|0||十和利
2016-06-30|秋田県|鹿角市十和田大湯・田代平付近|山林|男性・年齢不明|不明（当該記述に具体的活動なし）|重傷|1|towari_expert2|0||十和利
2017-05-27（発見）|秋田県|仙北市田沢湖玉川|山中|女性61歳／看護助手|タケノコ採り|死亡（クマに襲われたとみられる）|1|akita_death2017|0|職業は看護助手だが、当日はタケノコ採り。|
2023-10-17（発見）|富山県|富山市江本|住宅敷地内|女性79歳|不明（自宅敷地で発見。具体的活動未記載）|死亡（出血性ショック、警察はクマ被害とみる）|1|toyama_death2023|0||
2023-10-14（発見）|長野県|飯山市旭|集落から離れた山林・くくりわな付近|男性80歳／猟友会員・職業不明|10月13日からイノシシのわなを確認|死亡|1|nagano_death2023|0||
