id,verdict,narration,subject,evidence,missing,reason
ASSET-005,PASS,捜索に出た人たちが見つけたのは、無残な姿となった女性でした。,捜索者たち・女性の遺体,"Four Japanese searchers in plain unmarked navy police and fire rescue jackets with no lettering, no badges and no logo stand motionless at the edge of a small mountain stream in an early-spring Hokkaido forest with their backs to the camera; one slowly lowers his head and another removes his cap. / Beyond them on the far bank lies the woman they have found: a Japanese woman in a muted olive field jacket lying face-down and motionless among the stones, her body mostly covered by a plain grey blanket, one limp arm in a badly torn olive sleeve with a pale bluish-white hand, and one leg with the boot missing showing at the blanket's edge, the jacket ripped open and her face hidden, clearly dead and NOT sleeping, NOT resting, NOT peaceful.",,捜索者たちと発見された女性が登場し、破れた服や露出した手足で遺体の損傷も描かれている。
ASSET-008,PASS,一年後、また別の女性が襲われました。,別の女性・ヒグマ・襲撃,"an adult brown bear on all fours bursts out of the bamboo, jaws wrenched wide open with fangs bared, ears pinned flat, the fur along its neck bristled, closes the gap in two powerful bounds and lunges onto her back from behind, knocking her forward toward the ground.",,別の女性とヒグマが同じ画面に登場し、背後から襲われる瞬間が描かれている。
ASSET-009,FAIL,襲ったのは、あの時のヒグマです。,ヒグマ・襲撃,"the bear itself is dimly visible, its massive head and shoulders emerging from the gloom above the two files.",ヒグマが襲う瞬間,ヒグマは描かれていますが、ナレーションが述べる襲撃の瞬間は描かれていません。
ASSET-027,PASS,現場付近には、犯行に及んだと思われるクマの足跡が残っており、明らかにヒグマによる犯行でした。,ヒグマ・足跡,Two large fresh pawprints of an adult male Hokkaido brown bear,,主題の足跡が描かれ、ヒグマも背景に登場する。
ASSET-029,PASS,鈴などの鳴り物や、身を守る武器を持っていなかったとされています。,女性・鈴・武器,"holding only a small woven gathering basket in one hand, the other hand empty and open, no bell and no tool anywhere on her body or basket",,ナレーションの主語である女性が描かれ、鈴や武器を持っていないこともプロンプトに明記されています。
ASSET-129,PASS,町の観光協会からは、「解決が遅れると観光にも影響を与えかねない」という心配の声も上がりました。,観光協会の職員・心配,"A full-body Japanese woman in her 40s working for a local tourism association, wearing a navy vest over a white blouse and grey trousers, short dark hair, standing with BOTH SHOULDERS EQUALLY VISIBLE facing the viewer, one hand pressed to her cheek and the other holding a plain folder, eyebrows drawn up and together, mouth turned down in a worried frown",,ナレーションに登場する観光協会の職員が、心配そうな表情で描かれている。
ASSET-144,PASS,そして、事件から8か月余りが過ぎた、2014年12月18日。,日付・時間の経過,中央に「2014年12月18日」を白字で表示し、下に小さく「事件から8か月、、」。,,ナレーションに人物・動物は登場せず、日付と時間の経過がテロップで示されている。
ASSET-147,PASS,12月のこの時点までに、せたな町で捕獲したクマは20頭。,捕獲したクマ,"The nearest trap's door is shut and a captured adult Hokkaido brown bear about 2 metres long crouches inside ON ALL FOURS, its dark shape clearly visible through the mesh; the other two stand with doors raised open.",,捕獲されたクマが箱わなの中に描かれ、20頭という数はテロップで補われている。
ASSET-165,PASS,そこで町は、町の人や旅行者にも、山へ入るのを控えるよう呼びかけました。,町・町の人・旅行者,a male town official in his 40s ... holding a white hand-held megaphone to his mouth and raising the other palm in a stop gesture; a local woman in her 70s ...; a young male traveller in his 20s ...,,町の職員が拡声器で呼びかけ、町の人と旅行者がそれを聞く姿が描かれている。
ASSET-180,PASS,そして数日後、事態は思わぬ形で進展することに。,事態の進展,The desk and chair are empty; the call has just come in.,,数日後の思わぬ進展という抽象的な出来事を、入ったばかりの電話で象徴している。
ASSET-189,PASS,捕獲された時期は昨年2014年8月4日。,ヒグマの捕獲時期,"The trap door is shut, and through the mesh a large dark brown adult male Hokkaido brown bear about 2 metres long is visible inside, crouched low on all fours.",,捕獲されたヒグマが絵に描かれ、日付は編集者指示のテロップで補われている。
ASSET-192,PASS,体長2メートル、体重230キロ。推定7歳のオスでした。,成獣オスのヒグマ,"A full side-on view of a single adult male Hokkaido brown bear, about 2 metres long and about 230 kilograms, seven years old, a FULLY GROWN adult, NOT a cub, standing ON ALL FOURS, NOT upright, NOT on two legs, inside a steel box trap for bears",,ナレーションの主題である成獣オスのヒグマが、捕獲された全身像としてプロンプトに描かれている。
ASSET-209,PASS,現在のせたな町も、山へ入る前にクマの出没情報を確認し、単独で山に入るのを避けるよう呼びかけています。,せたな町の呼びかけ・入山者,Two full-body Japanese wild-vegetable gatherers standing side by side: ... both leaning slightly forward and reading it together with careful serious faces,,2人の入山者が出没情報を確認する姿が描かれ、案内板の背景再使用も指定されているため。
ASSET-219,PASS,亡くなられたかたのご冥福をお祈りいたします。,冥福を祈る気持ち,"A small bunch of white chrysanthemums laid on a weathered wooden rail on a quiet hilltop in Setana, southwestern Hokkaido, at dusk in late spring",,亡くなられたかたへの弔意を述べる抽象文であり、供えられた白い花で象徴している。
