id,verdict,narration,subject,evidence,missing,reason
ASSET-005,PASS,捜索に出た人たちが見つけたのは、無残な姿となった女性でした。,捜索者・女性の遺体,"Four Japanese searchers who have just reached the edge of a small mountain stream ... Beyond them on the far bank lies the woman they have found ... her body mostly covered by a plain grey blanket, one limp arm in a badly torn olive sleeve with a pale bluish-white hand, and one leg with the boot missing showing at the blanket's edge, the jacket ripped open",,捜索者と、破れた服や露出した手足で無残な状態が分かる女性の遺体が、どちらも画面に描かれている。
ASSET-008,FAIL,一年後、また別の女性が襲われました。,女性・ヒグマ・襲撃,the shot cuts to black just before contact,女性がヒグマに襲われる瞬間,女性とヒグマは登場するが、接触前に映像が終わり、ナレーションが述べる襲撃の瞬間は描かれていない。
ASSET-009,PASS,襲ったのは、あの時のヒグマです。,あの時のヒグマ,"the bear itself is dimly visible, its massive head and shoulders emerging from the gloom above the two files.",,ナレーションの主題であるヒグマが、影だけでなく姿としても描かれている。
ASSET-027,PASS,現場付近には、犯行に及んだと思われるクマの足跡が残っており、明らかにヒグマによる犯行でした。,ヒグマの足跡・ヒグマ,"Two large fresh pawprints of an adult male Hokkaido brown bear, an animal about 2 metres long and roughly 150 to 250 kilograms, pressed deep into damp dark mud beside a small mountain stream near Setana, southwestern Hokkaido, in mid-April early spring: brown leaf litter and a few first green shoots around the mud, No snow anywhere, no frost, no ice, no winter. Far in the background between the trees, small and slightly out of focus, the same bear walks away from the camera ON ALL FOURS, only its dark rump and hind legs visible, its face hidden.",,ナレーションに登場するヒグマと、主題であるその足跡の両方が描かれている。
ASSET-029,PASS,鈴などの鳴り物や、身を守る武器を持っていなかったとされています。,女性・鈴・武器,"A full-body Japanese woman aged 52 in a muted olive field jacket, dark trousers and a plain brown outdoor hat, holding only a small woven gathering basket in one hand, the other hand empty and open, no bell and no tool anywhere on her body or basket",,女性が描かれ、鈴や武器を持っていないことがプロンプトに明記されている。
ASSET-129,PASS,町の観光協会からは、「解決が遅れると観光にも影響を与えかねない」という心配の声も上がりました。,観光協会の職員・観光への影響,"A full-body Japanese woman in her 40s working for a local tourism association, wearing a navy vest over a white blouse and grey trousers",,心配の声を上げる観光協会の職員が描かれており、観光への影響は懸念として語られている。
ASSET-144,PASS,そして、事件から8か月余りが過ぎた、2014年12月18日。,時間の経過・2014年12月18日,中央に「2014年12月18日」を白字で表示し、下に小さく「事件から8か月、、」。「8か月」だけ赤字。,,ナレーションに人物・動物は登場せず、主題である時間の経過と日付は冬景色とテロップで表されている。
ASSET-147,PASS,12月のこの時点までに、せたな町で捕獲したクマは20頭。,捕獲したクマ,"The nearest trap's door is shut and a captured adult Hokkaido brown bear about 2 metres long crouches inside ON ALL FOURS, its dark shape clearly visible through the mesh",,捕獲されたクマが箱わなの中に描かれ、頭数はテロップで補われている。
ASSET-165,PASS,そこで町は、町の人や旅行者にも、山へ入るのを控えるよう呼びかけました。,町・町の人・旅行者,"a male town official in his 40s in a navy work jacket, grey trousers and a navy cap, facing right toward the others, holding a white hand-held megaphone to his mouth and raising the other palm in a stop gesture; a local woman in her 70s; a young male traveller in his 20s",,町の職員が拡声器で呼びかける姿と、その相手である町の人と旅行者が描かれています。
ASSET-180,PASS,そして数日後、事態は思わぬ形で進展することに。,事態の進展,The desk and chair are empty; the call has just come in.,,数日後の思わぬ進展という抽象的な出来事を、入ったばかりの電話で象徴している。
ASSET-189,PASS,捕獲された時期は昨年2014年8月4日。,捕獲されたヒグマ・捕獲日,"The trap door is shut, and through the mesh a large dark brown adult male Hokkaido brown bear about 2 metres long is visible inside, crouched low on all fours.",,閉じた箱わなに捕獲されたヒグマが描かれ、捕獲日は編集者指示のテロップで示される。
ASSET-192,PASS,体長2メートル、体重230キロ。推定7歳のオスでした。,成獣オスのヒグマ,"A full side-on view of a single adult male Hokkaido brown bear, about 2 metres long and about 230 kilograms, seven years old, a FULLY GROWN adult, NOT a cub, standing ON ALL FOURS, NOT upright, NOT on two legs, inside a steel box trap for bears",,ナレーションの主題である推定7歳の成獣オスのヒグマが、捕獲された姿で描かれている。
ASSET-209,FAIL,現在のせたな町も、山へ入る前にクマの出没情報を確認し、単独で山に入るのを避けるよう呼びかけています。,せたな町・クマ,the man holding a small paper leaflet printed with a simple dark brown bear silhouette,クマが描かれていない。,クマは資料上のシルエットで示されているだけで、プロンプトの絵に登場しない。
ASSET-219,PASS,亡くなられたかたのご冥福をお祈りいたします。,亡くなられたかたへの弔意,"A quiet mourning scene at dusk on a hilltop in Setana, Hokkaido, in late spring: the petals of a small bunch of white chrysanthemums on a weathered wooden rail tremble faintly in a soft breeze, facing out over forested hills toward the Sea of Japan, while the violet-orange light along the horizon slowly deepens.",,ナレーションは追悼の心情を述べる抽象文であり、白い菊を供えた情景で象徴的に表している。
