id,verdict,narration,subject,evidence,missing,reason
ASSET-101,PASS,ちなみに、今回襲われた男女二人組は、クマ避けの鈴を携帯しており、二人で行動していました。,男女二人組・クマ避けの鈴,"Two full-body Japanese hikers walking side by side toward the viewer at a slight three-quarter angle, both faces clearly visible.／a small daypack with a small brass bear bell hanging from its strap／a small daypack with a small brass bear bell",,女性と男性が並んで歩き、二人とも鈴を携帯する姿が描かれている。
ASSET-102,FAIL,通常であれば、この条件でクマが寄ってくる可能性は低いです。,クマ・登山者,"Two full-body Japanese hikers standing side by side facing the viewer, both faces clearly visible.",クマが描かれていない,ナレーションに登場する登山者は描かれていますが、クマはプロンプトに登場しません。
ASSET-104,FAIL,専門家は、積極的に人を襲った可能性が高いヒグマによる事故と捉え、「一度人間を襲ったクマは凶暴性を増す」と指摘しています。,専門家・人・ヒグマ,A full-body Japanese female researcher in her 40s,襲われた人とヒグマが描かれていない。,研究者は描かれているが、ナレーションに登場する人とヒグマは資料や警告で代替されている。
ASSET-105,FAIL,町も、今回の事件で極めて危険性が高いと判断し、すぐさまクマ駆除へと動き出します。,町・クマ・駆除,A full-body Japanese male town official in his 40s,クマが描かれていない,ナレーションに登場する町の職員は描かれているが、クマはプロンプトに登場しない。
ASSET-107,FAIL,ハンターたちは、現場から半径数キロにわたって捜索を開始。,ハンターたちの捜索,A full-body Japanese local hunter in his 60s,複数のハンターのうち、CHAR-05以外のハンター,ナレーションは複数のハンターによる捜索を述べているが、プロンプトに描かれるハンターは1人だけ。
ASSET-109,PASS,しかし、草むらが視界を塞ぎ、なかなか思うように探せません。,ハンター・草むら,"He pushes both arms forward as if parting tall grass, eyebrows pulled together and slanted upward, eyes squeezed in frustration, teeth gritted, sweat flying from his temples, frustrated and struggling, NOT calm, NOT smiling. / the grass closing in from both sides, no path visible beyond a few metres",,探すハンターと視界を塞ぐ草むらの両方が描かれている。
ASSET-110,PASS,そこで、町は北海道に、防災ヘリの出動を要請。,町の職員・出動要請,"He presses a corded telephone handset to his right ear and holds a plain blank sheet of paper in his left hand, eyebrows shot up and pulled together, eyes stretched wide, mouth wide open pleading into the phone",,町の職員が電話で緊急の要請をする姿が描かれている。
ASSET-113,PASS,ハンターと消防署員ら、合わせて26人が捜索に加わります。,ハンター・消防署員・捜索隊,"A search party of Japanese hunters and firefighters facing the viewer, front-row faces clearly visible. Behind them, partly hidden by the front row, only heads and shoulders show, drawn a little smaller: more hunters in orange vests and firefighters in white helmets, roughly twenty-six people in all.",,ナレーションに登場するハンターと消防署員が、約26人の捜索隊として描かれている。
ASSET-114,PASS,「きょうこそ仕留めたい」と、ハンターたちは語り、,ハンターたち,"Two full-body Japanese hunters standing side by side facing the viewer, both faces clearly visible.",,ナレーションに登場するハンター2人が描かれている。
ASSET-115,FAIL,捜索隊は3班に分かれ、山へ入ります。,捜索隊・3班,該当なし,3班に分かれる捜索隊の隊員,プロンプトに描かれる人物はハンター1人だけで、捜索隊が3班に分かれて山へ入る様子は描かれていない。
ASSET-117,PASS,出発にあたり、地元のベテランハンターである長田範男さん（62歳）が、他のハンターに銃の扱いについて念入りに指導。,長田範男さん・他のハンター・銃の扱いの指導,"Two full-body Japanese hunters facing each other at a slight three-quarter angle toward the viewer, both faces clearly visible. Left: 1) (CHAR-05 再利用) the veteran, a Japanese local hunter aged 62 ... holding a rifle with both hands with the muzzle pointed straight down at the ground, showing the safety catch with his thumb ... mouth open mid-instruction ... Right: 2) (CHAR-09 再利用) a Japanese young hunter in his 30s ... leaning in and nodding",,長田さんと指導を受けるハンターが描かれ、銃の安全装置を示しながら教える場面が見える。
