YouTube transcript
Video ID: 1TyA4Vxy7pE
Language: ja
Captions: auto-generated

[0:00] 満足な餌も与えられず
[0:02] 劣悪な環境の中で育てられたクマ牧場の熊
[0:05] たち日常的に飢えていた熊たちですがある
[0:08] 日クマ牧場の従業員が致命的なミスを犯し
[0:11] ますクマはそのミスを見逃さずこれまでの
[0:15] 復讐とも言える行動に出始めました
[0:18] 事件が発生したのは
[0:20] 秋田県鹿角市にあった
[0:21] 秋田八幡平クマ牧場ですこの
[0:25] 牧場は
[0:25] 熊が島民に入る冬から春にかけての期間は
[0:28] 来客が見込めないため基本的にその期間は
[0:31] 閉鎖されます
[0:33] そして当期閉鎖から春の営業再開に向けて
[0:36] の準備をしている最中に事件は起こりまし
[0:38] た
[0:39] 2012年4月20日当時75歳の女性
[0:43] 従業員と69歳の女性従業員同じく69歳
[0:47] の男性従業員の3人で開園作業を進めます
[0:51] この日は島民から目覚めたクマたちのため
[0:54] に運動場を開放し
[0:56] 冬眠用の部屋にこもっていたクマたちを
[0:58] 少し運動させる予定でした運動
[1:01] 場といっても地下に穴を掘りその周りを
[1:04] コンクリートで囲んだだけの簡易空間です
[1:07] 周りは高さ4.5mの壁に囲まれており
[1:11] 筋肉のあるクマでも雑草は不可能です
[1:14] 冬眠明けで空腹かつ体力のないクマにとっ
[1:16] てはなおさらこの運動場は完璧な囲いに
[1:19] なるはずでした
[1:21] しかし
[1:22] 牧場では2日前に除雪作業を行っており
[1:25] 従業員たちは除雪した雪をその運動場に
[1:28] 投げ捨てていたのです
[1:30] 捨てられた雪は解けずに残っており運動場
[1:32] は雪で地面が底上げされた状態となります
[1:36] つまり雪の足場ができてクマが簡単に壁を
[1:39] 乗り越えられる状態になっていたのです
[1:41] もちろんクマの世話をしていた3人の従業
[1:44] 員はそのような事態が起こっているとは
[1:46] 知らず
[1:47] 普段通りに業務を続けましたそして午前9
[1:50] 時ごろ運動場に出ていたヒグマのうちの1
[1:53] 頭がたまった雪の足場を利用してついに
[1:55] 運動場からの脱出に成功してしまいます
[1:59] ヒグマの脱走に気づいた75歳の女性従業
[2:02] 員はすぐに事態の申告制に気がつきヒグマ
[2:05] が逃げ出したと叫んで周囲に伝えます
[2:09] その声に気づいた男性従業員が声のする方
[2:12] に駆け寄るも時すでに遅し
[2:15] 男性従業員が見た女性従業員の最後の姿は
[2:17] まさに脱走したヒグマに襲撃され
[2:21] 噛みつかれている最中だったのです
[2:24] 男性従業員はすぐに近くにいたはずの69
[2:26] 歳の女性従業員に声をかけるも
[2:29] 姿が見当たりません
[2:31] 何度呼んでも返事がなかったため
[2:33] 男性従業員は最悪の時代に備えて
[2:36] 牧場経営者や地域の猟友会に連絡します
[2:38] そして
[2:40] 午前10時頃事態を把握した警察や救急隊
[2:43] が牧場に到着
[2:44] 国道から見下ろした牧場内部では
[2:48] 脱走したと思われる2頭のヒグマが口の
[2:50] 周りを真っ赤に染めまるで餌を奪い合うか
[2:52] のように何かを引っ張り合っています
[2:55] その何かとはどちらの女性従業員か判別
[2:59] できないほど無残に食い荒らされた人間の
[3:01] 死体でした実際に事件後に行われたヒグマ
[3:04] の解剖でも内臓から被害者の体の一部や
[3:08] 遺品が摘出されていますこのことからこの
[3:11] ヒグマの脱走は食害が目的であった可能性
[3:13] が非常に高いと考えられています
[3:16] そして
[3:17] 従業員を食べてしまった2頭のヒグマは
[3:19] すぐに射殺されることが決定
[3:23] 猟友会にも正式な指示が出され
[3:25] 猟友会のメンバーは空腹のクマが大量に
[3:27] 潜んでいる可能性のある牧場内に入ること
[3:30] となりましたメンバーは連携し
[3:33] 午後4時までに脱走したヒグマ合計6頭を
[3:36] 射殺
[3:37] 射殺されたヒグマはすべて体調1m
[3:39] 50cmから2メートルほど体重は250
[3:43] から300キロ前後の大人のヒグマでした
[3:47] 襲撃された2人の女性従業員は病院に搬送
[3:49] されたもののすでに説明しており
[3:52] 改めて死亡が確認されます
[3:54] 大声で悲鳴を上げた女性従業員の死因は
[3:57] 頚椎損傷もう一人の女性従業員は外傷性
[4:01] ショックで亡くなりました
[4:03] 弱肉強食の世界で暮らすヒグマなら空腹に
[4:06] 耐えられず人間を襲ってしまうケースも
[4:08] 考えられますがこのヒグマたちは牧場で
[4:11] 飼育されていました人間に飼育されている
[4:14] のなら
[4:15] 普段から毎日餌を与えられて暮らしていた
[4:17] はずですがなぜこのような悲惨な事件が
[4:20] 起きてしまったのでしょうかこの事件の
[4:22] 背景には
[4:23] 秋田八幡平クマ牧場のずさんな管理体制が
[4:26] 大きく影響していると言われています
[4:28] もともと
[4:30] 熊野生態や何気ない行動を気軽に観察
[4:33] できる
[4:34] 観光スポットとして知られていた
[4:36] 秋田八幡体クマ牧場は国道沿いに本州随一
[4:40] のクマ牧場と看板を掲げていました
[4:43] 基本的に安全な檻の中で飼育するスタイル
[4:45] を採用しており
[4:47] 餌をねだる芸をする姿が珍しいと人気を
[4:50] 集めていました
[4:51] ヒグマやツキノワグマコリアックヒグマ
[4:54] など
[4:54] 複数種類のクマを30頭近く飼育していた
[4:57] 秋田八幡体クマ牧場
[5:00] 施設内では熊専用のおやつも販売され
[5:03] 熊への餌やりが体験できることも話題に
[5:05] なりまさにクマを観察し
[5:08] 触れ合えるクマ好きにはたまらない牧場
[5:10] でしたしかし実際には資金繰りが厳しく
[5:13] 何人もの経営者が変わる赤字経営だったの
[5:16] です
[5:18] 従業員も事件当日にいた3人のみでたった
[5:21] 3人だけで30頭近くものクマたちの飼育
[5:23] をしていましたこの経営難によりクマたち
[5:27] の餌を十分に用意することができず
[5:29] 熊とは思えないほど痩せ細った個体や空腹
[5:32] から気性が荒くなった個体も目撃されます
[5:36] なんとか近くの総合病院から入院患者の
[5:38] 残飯を週3回程度50キロほど分けて
[5:41] もらっていましたがそれでも十分とは言え
[5:43] ませんまた実際にこのクマ牧場を訪れた人
[5:47] の中には
[5:49] 餌やり体験で餌として使われていたのは
[5:51] クマ用のものではなくただのパンであり
[5:53] さらにそのパンはカビが生えていたと主張
[5:55] する人もいます
[5:57] これらの話からクマたちは常に空腹状態に
[6:00] ある
[6:01] 劣悪な環境で飼育されていたと考えられ
[6:03] ます
[6:04] さらに牧場の周辺の住民から
[6:07] 牧場スタッフが小熊の死体を無造作に捨て
[6:09] ていたという悲惨な状況を裏付ける目撃
[6:12] 証言があることから
[6:14] 牧場はクマたちを生き物として尊重せず
[6:16] 見世物として生かしているだけであったと
[6:18] 言えるでしょうこのような状況だったため
[6:21] この牧場は事件が起きた年の秋にはすでに
[6:24] 肺炎することが決定していましたが今回の
[6:27] 事件を受け6月に前倒しで肺炎しました
[6:30] そしてこの牧場の経営者および除雪を担当
[6:33] した69歳の男性従業員は
[6:36] 業務上過失致死容疑で逮捕され後に罰金が
[6:39] 課されることになります
[6:41] 一方で残されたクマたちはその後県から非
[6:44] 常勤職員の派遣があったり
[6:46] 支援団体から物資や資金の援助が入ったり
[6:48] したためしばらくは継続して飼育される
[6:51] ことになりました当初
[6:54] 逮捕された経営者は
[6:55] 餌の量を減らして自然淘汰させようと提案
[6:58] していましたが
[6:59] 秋田県側から
[7:00] 観光に悪影響を及ぼすのでやめるべきと
[7:03] 注意が入り中止となりました
[7:06] 自然淘汰させるということは
[7:08] 熊野餌を減らして共食いさせたり
[7:10] 餓死させたりするということです
[7:12] その後県外の複数の施設が熊の受け入れ
[7:15] 要請を受諾したため残されたクマは前頭
[7:18] 整った環境で飼育されることが決定し
[7:20] ようやく劣悪な飼育環境から解放されたの
[7:23] です
[7:25] 熊野ほとんどは2014年にオープンした
[7:27] 秋田県内の北秋田市兄熊牧場通称
[7:31] 熊熊園に引き取られましたまた今回の事件
[7:35] で
[7:35] 秋田八幡平クマ牧場の熊たちが悲惨な
[7:38] 状況下で暮らしていたことを知った
[7:40] 海外の複数の動物愛護団体は要望書を提出
[7:43] しています
[7:45] その内容は
[7:47] 熊野受け入れ先はできる限り環境の整った
[7:49] 場所を選ぶべきでありそれがかなわない
[7:51] 場合はせめて安楽死させてあげてほしいと
[7:54] いうものです
[7:56] このため北秋田市兄熊牧場をはじめとする
[7:58] 残ったクマたちを引き取った複数の施設は
[8:01] この働きかけを受けた結果選ばれた
[8:04] 受け入れ先だと考えられます一般的な
[8:07] ヒグマ事件は
[8:08] 森などの熊野テリトリーで熊と遭遇したり
[8:11] 野生のクマが空腹で人里に降りてきたり
[8:13] するケースがほとんどです
[8:16] しかし今回の事件は多くの観光客が訪れる
[8:19] クマ牧場で発生した
[8:21] 衝撃的な事件だったと言えるでしょう以上
[8:23] 今回は
[8:25] 秋田八幡平クマ牧場事件を紹介しました
[8:27] 動画がわかりやすいと感じていただけまし
[8:30] たら
[8:31] 是非高評価をお願いいたします
[8:33] 今後もこのチャンネルでは
[8:35] 過去に起こった様々な悲惨な事故を紹介し
[8:37] ていきますのでそのような内容に興味の
[8:39] ある方はチャンネル登録をしてお待ち
[8:41] くださいそれでは今回も最後までご視聴
[8:44] いただきありがとうございました
[8:46] [音楽]
