id,verdict,narration,subject,evidence,missing,reason
ASSET-051,FAIL,地区長を通じて、住民への注意も徹底することになりました。,地区長・住民,キャラは既存の ASSET-051_char.png（057と同じ地区長）を使い,住民が描かれていない,地区長は指定されているが、住民のキャラは指定されず、背景にも人を描かない指示がある。
ASSET-053,FAIL,民家と山の境目に茂ったササを刈り、視界を良くすることでクマが家へ近づきにくくしたのです。,作業員・ササ・クマ,a wide freshly cut strip where tall bamboo grass has been mown down to short stubble,クマが描かれていない,刈られたササと作業員は指定されているが、ナレーションに登場するクマは絵に指定されていない。
ASSET-054,FAIL,また、小中学生を乗せたスクールバスは、家の玄関まで送り迎えするようにしました。,小中学生・スクールバス,キャラは既存の ASSET-054_char.png（ランドセルの小学生）を使い,中学生が描かれていない。,小学生とスクールバスは指定されているが、ナレーションに登場する中学生が絵にいない。
ASSET-055,FAIL,そして、少しでも情報を集めるため、クマを見たときだけの連絡だけでなく、,クマ・情報収集,He presses a corded telephone handset to his right ear and holds a plain clipboard with a pen in his left hand,クマが描かれていない,ナレーションに出るクマが、キャラと背景のどちらのプロンプトにも登場しないため。
ASSET-058,FAIL,一方、クマの捕獲のために動いていた猟友会からは、ハンターの高齢化を心配する声も多く寄せられました。,クマ・猟友会のハンター,Three aging Japanese hunters in their late 60s and 70s getting ready at the gravel entrance of a forest road near Setana,クマ,猟友会の高齢ハンターは描かれていますが、ナレーションに登場するクマは描かれていません。
ASSET-059,FAIL,そのため、町は新たなハンターを増やすべく、2013年から狩猟免許や猟銃の購入など、ハンター活動に必要な資金の一部を負担することに決定。,町・ハンター・費用負担,該当なし,町による狩猟免許・猟銃購入費の一部負担,町の職員と若いハンターは描かれているが、白紙の受け渡しと喜ぶ反応だけでは、ナレーションの主題である費用負担が絵に見えない。
ASSET-060,FAIL,こうした取り組みを必死ですすめていましたが、人を襲ったクマは結局、誰も捕まえることはできませんでした。,襲われた人・クマ・捕獲者,該当なし,人を襲ったクマと、襲われた人が描かれていない。,ハンターと空の箱わなは描かれているが、ナレーションに登場するクマと襲われた人は絵にいない。
ASSET-066,PASS,山へ入ったのは、45歳の女性と63歳の知人男性。,45歳の女性・63歳の知人男性,"Exactly two full-body Japanese figures side by side, walking toward the viewer at a slight three-quarter angle, both faces clearly visible. Left to right: 1) (CHAR-03 再利用) a woman in her mid 40s in a MAROON field jacket (deep red-brown, NOT green), charcoal trousers and dark hair tied low in a short bun, an empty woven basket on her arm, eyebrows raised cheerfully, eyes curved into happy arcs, mouth wide open in a bright smile; 2) (CHAR-04 再利用) a man aged 63 with short greying hair, CLEAN-SHAVEN with no beard and no moustache, a grey field jacket, navy trousers and brown boots, a small canvas bag on his shoulder, eyebrows raised, eyes bright and wide, mouth open in a hearty laugh.",,ナレーションに登場する女性と男性の両方がキャラプロンプトに描かれている。
ASSET-067,PASS,2人は、ギョウジャニンニクを採りに来ていました。,2人・ギョウジャニンニク採取,"Two Japanese hands pick it at the same time: on the left a woman's hand in a MAROON jacket sleeve, on the right a man's hand in a grey jacket sleeve",,2人の手がギョウジャニンニクを摘む場面が描かれている。
ASSET-068,PASS,ギョウジャニンニクは1キロ2000円ほどで売れるので、,ギョウジャニンニク・販売価格,She holds up a big bundle of wild garlic with broad green leaves and reddish stems in both hands,,主題のギョウジャニンニクが描かれ、価格は編集者指示のテロップで補われています。
ASSET-069,PASS,副収入を得ようとする人が一定数、毎年こうして山に入っていきます。,副収入を得ようとする人,キャラは既存の ASSET-069_char.png（カゴを持つ人）を使い、雪の写った背景だけ作り直す。,,既存の人物キャラを山道の入口へ歩かせる指示があり、ナレーションの主語が絵に登場する。
ASSET-070,PASS,林道の入口には、「クマ出没注意」の看板。,クマ注意の看板,a yellow diamond sign on a metal post showing only a black bear pictogram and no words,,ナレーションの主題である看板と、そこに示されたクマの絵記号が描かれている。
ASSET-071,FAIL,クマがよく出没する地域として知られていましたが、それでも二人は山へと足を踏み入れて行きました。,クマ・男性・女性,"Exactly two full-body Japanese figures walking toward the viewer at a slight three-quarter angle, both faces clearly visible.",クマ,男性と女性は描かれるが、クマは看板のピクトグラムで示されるだけで、クマ自体は登場しない。
ASSET-074,PASS,山菜採りを終えた2人は、男性を先頭にして下山中でした。,下山する男性と女性,"Two Japanese foragers walk down the trail away from the camera, seen from behind: the man is several steps AHEAD, further down the trail, a Japanese man in his early 60s with short greying hair in a grey field jacket and navy trousers, a canvas bag on his shoulder; the woman follows BEHIND him, closer to the camera, a Japanese woman in her mid 40s in a MAROON field jacket and charcoal trousers with dark hair tied low, a woven basket full of wild garlic on her arm.",,男性と女性の2人が下り道を歩き、男性が先頭にいる様子が描かれている。
ASSET-078,PASS,そのとき男性が持っていたのは、枝を払うためのナタでした。,男性・ナタ,a Japanese man's right hand in a grey field jacket sleeve gripping a traditional Japanese nata brush-clearing hatchet,,ナレーションに登場する男性の手と、握っているナタが描かれている。
ASSET-079,PASS,向かってくるクマは、体長およそ2メートル。,向かってくるクマ,An adult male Hokkaido brown bear (Ursus arctos yesoensis) about 2 metres long and roughly 150 to 250 kilograms charging straight toward the camera ON ALL FOURS along a narrow forest trail,,ナレーションの主題である、こちらへ向かってくる体長約2mのクマが描かれている。
ASSET-080,FAIL,男性はそのナタで、クマの顔面をたたきます。,男性・クマ・顔面への打撃,「向かってくるクマの前で、ナタを振り上げる男性（CHAR-04）」「接触の手前で止める」,ナタがクマの顔面に当たる瞬間,男性とクマは登場しますが、ナレーションの主題である顔面への打撃は描かれていません。
ASSET-082,PASS,諦めたのかそのまま山の中へ逃げていきました。,ヒグマの逃走,"an adult brown bear on all fours, its back and rump toward the camera, bounds away uphill into dense bamboo grass and bare woods and disappears",,ナレーションの主語であるヒグマが、四つ足で森の奥へ走り去る姿として描かれている。
ASSET-083,FAIL,その後、女性はすぐさま病院へと緊急搬送。,女性・緊急搬送,A white Japanese ambulance with red lights driving away along a narrow road through bare forested hills near Setana,緊急搬送される女性,"救急車は描かれていますが、ナレーションの主語である女性はプロンプトで「No people, no figures, no humans visible」と明示され、絵に登場しません。"
ASSET-084,PASS,幸い肩や腕に重いけがを負いましたが、命に別状はなかったとのことです。,女性・肩と腕の負傷,"Clean white bandages are wrapped around her left shoulder and upper arm, and her left arm rests in a white sling; her right hand is pressed to her chest. Tears of relief streaming down both cheeks",,負傷した女性本人と肩・腕の包帯やつり具が描かれ、助かった安堵も表情に示されている。
ASSET-085,PASS,同行していた男性に関しては、大きな怪我はなかったと報告されています。,同行していた男性・無傷,His clothes are dusty but he has no injury.,,ナレーションの主題である男性が、大きな怪我のない姿で描かれている。
