id,verdict,narration,subject,evidence,missing,reason
ASSET-101,PASS,ちなみに、今回襲われた男女二人組は、クマ避けの鈴を携帯しており、二人で行動していました。,男女二人・クマ避けの鈴,"Two full-body Japanese hikers walking side by side toward the viewer at a slight three-quarter angle, both faces clearly visible. / a small daypack with a small brass bell for warding off wildlife hanging from its strap / a small daypack with a small brass bell for warding off wildlife",,女性と同行の男性が並んで歩き、二人ともリュックにクマ避けの鈴を付けた姿が描かれています。
ASSET-102,FAIL,通常であれば、この条件でクマが寄ってくる可能性は低いです。,クマの接近可能性,該当なし,クマ,ナレーションに登場するクマが、キャラプロンプトにも背景プロンプトにも描かれていません。
ASSET-104,FAIL,専門家は、積極的に人を襲った可能性が高いヒグマによる事故と捉え、「一度人間を襲ったクマは凶暴性を増す」と指摘しています。,専門家・ヒグマ・襲われた人,「研究者の左に096のクマ（2人を襲った同じクマ）を小さく重ね」,襲われた人間と襲撃の場面,研究者とクマは登場するが、ナレーションに出る襲われた人間と、目に見える出来事である襲撃が描かれていない。
ASSET-105,FAIL,町も、今回の事件で極めて危険性が高いと判断し、すぐさまクマ駆除へと動き出します。,町の職員・クマ・駆除,A full-body Japanese male town official in his 40s,クマが描かれていない。,ナレーションに登場する町の職員は描かれているが、駆除対象のクマはプロンプトに登場しない。
ASSET-107,PASS,ハンターたちは、現場から半径数キロにわたって捜索を開始。,ハンターたち・捜索,"Both are tense and searching, NOT calm, NOT smiling.",,ナレーションの主語であるハンターたちが2人とも描かれ、捜索する姿が示されている。
ASSET-109,PASS,しかし、草むらが視界を塞ぎ、なかなか思うように探せません。,草むら・ハンター,"He pushes both arms forward as if parting tall grass, eyebrows pulled together and slanted upward, eyes squeezed in frustration, teeth gritted, sweat flying from his temples, frustrated and struggling, NOT calm, NOT smiling. / the grass closing in from both sides, no path visible beyond a few metres",,視界を塞ぐ草むらと、探すのに苦労するハンターの両方がプロンプトに描かれている。
ASSET-110,PASS,そこで、町は北海道に、防災ヘリの出動を要請。,町の職員・出動要請,"He presses a corded telephone handset to his right ear and holds a plain blank sheet of paper in his left hand, eyebrows shot up and pulled together, eyes stretched wide, mouth wide open pleading into the phone",,町の職員が電話で緊急の要請をする姿が描かれている。
ASSET-113,PASS,ハンターと消防署員ら、合わせて26人が捜索に加わります。,ハンター・消防署員・捜索隊26人,"A search party of Japanese hunters and firefighters facing the viewer, front-row faces clearly visible. Behind them, partly hidden by the front row, only heads and shoulders show, drawn a little smaller: more hunters in orange vests and firefighters in white helmets, roughly twenty-six people in all.",,ハンターと消防署員を含む約26人の捜索隊が描かれている。
ASSET-114,PASS,「きょうこそ仕留めたい」と、ハンターたちは語り、,ハンターたち,"Two full-body Japanese hunters standing side by side facing the viewer, both faces clearly visible.",,ナレーションで語るハンター2人がキャラプロンプトに描かれている。
ASSET-115,FAIL,捜索隊は3班に分かれ、山へ入ります。,捜索隊・3班,"Three full-body Japanese search-team leaders, each heading off a different way",各班の隊員（描かれているのは班長3人のみ）,3班に分かれて山へ入る捜索隊が主題だが、プロンプトには各班の先頭に立つ3人しか描かれていない。
ASSET-117,PASS,出発にあたり、地元のベテランハンターである長田範男さん（62歳）が、他のハンターに銃の扱いについて念入りに指導。,長田さん・他のハンター・銃の扱い,"Two full-body Japanese hunters facing each other at a slight three-quarter angle toward the viewer, both faces clearly visible. Left: 1) (CHAR-05 再利用) the veteran, a Japanese local hunter aged 62 with short grey hair and a grey stubble, an orange cap, a dark green field jacket under a blaze-orange safety vest, khaki trousers and brown boots, holding a rifle with both hands with the muzzle pointed straight down at the ground, showing the safety catch with his thumb, eyebrows pulled together in intense concentration, eyes narrowed and sharp, mouth open mid-instruction, a bead of sweat on his temple, strict and earnest. Right: 2) (CHAR-09 再利用) a Japanese young hunter in his 30s with short black hair, a dark green cap, a dark green field jacket under a blaze-orange safety vest, khaki trousers and brown boots, leaning in and nodding, eyebrows shot up, eyes wide and nervous, mouth open, sweat on his forehead.",,長田さんが銃の安全装置を示しながら指導し、若いハンターが教わる姿が描かれている。
ASSET-120,PASS,山道を歩いてると、クマの足跡を発見。,ハンター・クマの足跡,"He points down and to his right with his right index finger, eyebrows shot up high, eyes stretched wide open, mouth wide open in a gasp / A line of large Hokkaido brown bear pawprints",,ナレーションに登場する人物は足跡を発見したハンターで、主題であるクマの足跡も描かれている。
