id,title,view_count,upload_date,duration,channel,channel_id,webpage_url
fYrfq6FWivY,"Six people headed to the snowy mountains. One of them thought he had returned home first, but was...",,,,,,
aXBTdbYoISg,Nine high school mountaineering club members and three accompanying teachers went on a summer mou...,,,,,,
UdXdN9-gGOM,"A man falls and is injured. He survives on water from the stream and the remaining food, but fina...",,,,,,
DaqDlQfaSEw,Tracing the Bloodstains in the Snow to Find Missing Friends: The Tragedy of the University Studen...,,,,,,
hoLn5Y3aUU8,"A mountaineering training accident in bad weather. With temperatures dropping to -20°C, it was im...",,,,,,
Yh_H-QJILkg,"A man's wife, who had gone on a day hike, called for rescue. Search efforts began, but she was no...",,,,,,
i_tdBZFMx3o,"Where 14 Hikers Ended Up After Getting Lost → A Tragic End: The ""Mount Adatara Hiking Accident"" [...",,,,,,
ZOx2b_KeaT8,"""Run!"" A guide and tour group flee an avalanche traveling at 150 km/h. Why enter a known danger z...",,,,,,
TEpjBVNJUoE,"A new hiking trail sign installed by the city. Two climbers became lost at the trail fork, and th...",,,,,,
dwXAG5337eE,"A mountaineering club of 27 people undertook a day hike, but due to bad weather some members aban...",,,,,,
XjV2qNemqSQ,"""No way..."" On the second day of the accident, the trail they finally found was a hallucination. ...",,,,,,
cfymOpcR4JM,It all started with one person falling and getting lost. Mountain accidents continued one after a...,,,,,,
InTnTO2HNTs,An unexpected incident occurred during a mountain climbing tour with four participants → The resu...,,,,,,
y0jpFluYmO0,"""Teacher, help me"": The catastrophe during a meticulously planned school event. The tragedy of 55...",,,,,,
1L3ie07KS4c,"""Don't sleep!"" Five men and women with no mountaineering experience get lost. The result of wakin...",,,,,,
cDSggeP5338,"While descending a snowy mountain with three people, the last person disappeared → ""Huh?"" → Behin...",,,,,,
F7kfix83pm8,気温−25℃、吹き荒れる強風。ベテラン登山家たちが冬の富士山で最悪の結末に…「富士山登山家遭難事故(2009年)」【地形図から解説】,,,,,,
nXVXgLJYemE,"A mountaineering club of 52 people, mostly beginners, broke a certain mountain rule... ""Osugidani...",,,,,,
cjbNfScEFEg,"Stranded on a sheer cliff. Unable to descend or turn back due to a climbing mistake… ""The 2022 Da...",,,,,,
1EYlSWlr100,A high school mountaineering club submitted a false report and attempted to climb a snowy mountai...,,,,,,
_rs3aVgRWZY,Snowmobiles are prohibited on this snowy mountain → Three people were lost and disappeared the ne...,,,,,,
mKz4EZsH8Yg,"""Run, run!"" An Unpredictable Mountain Accident on Mt. Fuji. A Massive Rockfall Rains Down on Clim...",,,,,,
hjQE_MOhSZs,"After rescuing a man stranded in the mountains, he goes missing... Rescue team sued for damages i...",,,,,,
fK3RRR_O7Cg,"37 people, including three teachers, were lost during a junior high school mountain climbing even...",,,,,,
dKV0I-yM77o,The mountain accident occurred on a low mountain that is considered suitable for beginners. The v...,,,,,,
JWx6LoMj-CI,ベテラン同士で結成した8名の登山パーティー。一人の身勝手な行動で最悪の結末に…「幌尻岳遭難事故」【地形図から解説】,,,,,,
xpcouM_qqGQ,The consequences of a mountaineering tour guide's decision... The first mountaineering accident i...,,,,,,
ds2_U1LkuX0,"A parent and child, lightly equipped, headed for a mountain climbing course intended for advanced...",,,,,,
syCLM6Ft1fs,The worst mass mountain disaster in the history of the Northern Alps. The tragedy of 13 universit...,,,,,,
9QRMkRP4BnQ,Stranded in the Snowy Mountains: The Final 4 Days of a College Student Who Realized Everything. T...,,,,,,
e5sgqeqDp7E,A tragedy caused by the mountain climbing boom among middle-aged and elderly people. Even when me...,,,,,,
nK8mwMpgHM0,"The largest mass mountain climbing disaster in Japan. Why did this tragedy occur? ""Mt. Fuji Mass ...",,,,,,
