id,verdict,narration,subject,evidence,missing,reason
ASSET-051,PASS,地区長を通じて、住民への注意も徹底することになりました。,地区長・住民・注意喚起,集落の掲示板の横で、地区長が住民へ注意を呼びかけ、住民（CHAR-10）が不安そうに聞く。,,地区長と住民がともに登場し、注意を呼びかける場面が描かれている。
ASSET-053,FAIL,民家と山の境目に茂ったササを刈り、視界を良くすることでクマが家へ近づきにくくしたのです。,作業員・ササ・クマ,「キャラは既存の ASSET-053_char.png（刈払機の作業員）を使い」「a wide freshly cut strip where tall bamboo grass has been mown down to short stubble」,クマが描かれていない。,ナレーションに登場するクマが、背景プロンプトにもキャラの指定にも含まれていない。
ASSET-054,FAIL,また、小中学生を乗せたスクールバスは、家の玄関まで送り迎えするようにしました。,小中学生・スクールバス,A small white Japanese school bus stopped right at the front entrance of a rural wooden house near Setana,中学生と、バスに乗っている小中学生,バスと既存キャラの小学生は描かれますが、中学生や児童・生徒を乗せた状態は描かれていません。
ASSET-055,FAIL,そして、少しでも情報を集めるため、クマを見たときだけの連絡だけでなく、,クマ・目撃者・連絡,He presses a corded telephone handset to his right ear and holds a plain clipboard with a pen in his left hand,クマと、クマを見て連絡する人が描かれていない。,電話を受ける職員は描かれているが、ナレーションに出るクマと目撃者は描かれていない。
ASSET-058,FAIL,一方、クマの捕獲のために動いていた猟友会からは、ハンターの高齢化を心配する声も多く寄せられました。,クマ・猟友会のハンター,Three aging Japanese hunters in their late 60s and 70s getting ready at the gravel entrance of a forest road near Setana,クマ,高齢のハンター3人は描かれていますが、ナレーションに登場するクマが描かれていません。
ASSET-059,PASS,そのため、町は新たなハンターを増やすべく、2013年から狩猟免許や猟銃の購入など、ハンター活動に必要な資金の一部を負担することに決定。,町・若いハンター・費用負担,a male town official in his 40s ... holding out one plain blank sheet of paper with both hands; 2) ... a young hunter in his 30s ... reaching for the paper with both hands,,町の職員と若いハンターが描かれ、費用負担を決めたという抽象的な出来事を両者の書類の受け渡しで表している。
ASSET-060,FAIL,こうした取り組みを必死ですすめていましたが、人を襲ったクマは結局、誰も捕まえることはできませんでした。,ハンター・クマ・襲われた人,A full-body Japanese local hunter in his 60s,人を襲ったクマと、襲われた人が描かれていない。,ハンターと空の箱わなは描かれているが、ナレーションに登場するクマと襲われた人が絵にいない。
ASSET-066,PASS,山へ入ったのは、45歳の女性と63歳の知人男性。,45歳の女性・63歳の男性,"Exactly two full-body Japanese figures side by side, walking toward the viewer at a slight three-quarter angle, both faces clearly visible. Left to right: 1) (CHAR-03 再利用) a woman in her mid 40s in a MAROON field jacket (deep red-brown, NOT green), charcoal trousers and dark hair tied low in a short bun, an empty woven basket on her arm, eyebrows raised cheerfully, eyes curved into happy arcs, mouth wide open in a bright smile; 2) (CHAR-04 再利用) a man aged 63 with short greying hair, CLEAN-SHAVEN with no beard and no moustache, a grey field jacket, navy trousers and brown boots, a small canvas bag on his shoulder, eyebrows raised, eyes bright and wide, mouth open in a hearty laugh.",,ナレーションに登場する女性と知人男性の2人が、山へ入る場面のキャラプロンプトに描かれている。
ASSET-067,PASS,2人は、ギョウジャニンニクを採りに来ていました。,2人・ギョウジャニンニク採取,"Two Japanese hands pick it at the same time: on the left a woman's hand in a MAROON jacket sleeve, on the right a man's hand in a grey jacket sleeve",,2人の手と採取するギョウジャニンニクが描かれている。
ASSET-068,PASS,ギョウジャニンニクは1キロ2000円ほどで売れるので、,ギョウジャニンニク・価格,She holds up a big bundle of wild garlic with broad green leaves and reddish stems in both hands,,ナレーションに人物・動物は登場せず、主題のギョウジャニンニクは絵に描かれ、価格はテロップで示される。
ASSET-069,PASS,副収入を得ようとする人が一定数、毎年こうして山に入っていきます。,副収入を求めて山に入る人,キャラは既存の ASSET-069_char.png（カゴを持つ人）を使い、雪の写った背景だけ作り直す。／人を左から山道の入口へ歩かせる,,既存キャラの人物が山道の入口へ歩く姿で、ナレーションの主語と行動を描いている。
ASSET-070,PASS,林道の入口には、「クマ出没注意」の看板。,クマ出没注意の看板,a yellow diamond sign on a metal post showing only a black bear pictogram and no words,,ナレーションの主題である看板が絵に描かれ、「クマ出没注意」の文字は編集者指示で看板に載せられる。
ASSET-071,FAIL,クマがよく出没する地域として知られていましたが、それでも二人は山へと足を踏み入れて行きました。,クマ・男性・女性,"Exactly two full-body Japanese figures walking toward the viewer at a slight three-quarter angle, both faces clearly visible. / a yellow diamond sign on a metal post showing only a black bear pictogram and no words",クマの姿が描かれていない,男性と女性は描かれていますが、ナレーションに登場するクマは看板の図柄だけで代替されています。
ASSET-074,PASS,山菜採りを終えた2人は、男性を先頭にして下山中でした。,男性・女性・下山,"Two Japanese foragers walk down the trail away from the camera, seen from behind: the man is several steps AHEAD, further down the trail, a Japanese man in his early 60s with short greying hair in a grey field jacket and navy trousers, a canvas bag on his shoulder; the woman follows BEHIND him, closer to the camera, a Japanese woman in her mid 40s in a MAROON field jacket and charcoal trousers with dark hair tied low, a woven basket full of wild garlic on her arm.",,男性と女性の2人が描かれ、男性を先頭に下り道を歩く順番も示されている。
