id,verdict,narration,subject,evidence,missing,reason
ASSET-005,PASS,捜索に出た人たちが見つけたのは、無残な姿となった女性でした。,捜索者・女性の遺体,"All four stand still in a loose row with their backs to the camera, heads lowered, arms hanging, only their backs and shoulders visible, no face visible. Beyond them on the far bank lies the woman they have found: a Japanese woman in a muted olive field jacket lying face-down and motionless among the stones, her body mostly covered by a plain grey blanket, one limp arm in a badly torn olive sleeve with a pale bluish-white hand, and one leg with the boot missing showing at the blanket's edge, the jacket ripped open and her face hidden, clearly dead and NOT sleeping, NOT resting, NOT peaceful.",,ナレーションに登場する捜索者と女性の遺体がともに描かれ、破れた服や靴のない脚も見える。
ASSET-008,FAIL,一年後、また別の女性が襲われました。,別の女性への襲撃,the shot cuts to black just before contact.,ヒグマが女性を襲う瞬間,女性とヒグマは描かれているが、接触直前で映像が終わり、ナレーションの主題である襲撃が描かれていない。
ASSET-009,PASS,襲ったのは、あの時のヒグマです。,あの時のヒグマ,"The shadow spans both files as if the same bear looms over both records, and at the dark edge of the room behind the desk the bear itself is dimly visible, its massive head and shoulders emerging from the gloom above the two files.",,ナレーションは襲ったクマの同一性を述べており、プロンプトには同じヒグマの影とヒグマ自身が描かれている。
ASSET-027,PASS,現場付近には、犯行に及んだと思われるクマの足跡が残っており、明らかにヒグマによる犯行でした。,ヒグマの足跡,"Two large fresh pawprints of an adult male Hokkaido brown bear, an animal about 2 metres long and roughly 150 to 250 kilograms, pressed deep into damp dark mud beside a small mountain stream near Setana, southwestern Hokkaido, in mid-April early spring",,ナレーションの主題であるヒグマの足跡が絵に描かれ、ヒグマも背景に登場する。
ASSET-029,PASS,鈴などの鳴り物や、身を守る武器を持っていなかったとされています。,女性・鈴・武器,"A full-body Japanese woman aged 52 in a muted olive field jacket, dark trousers and a plain brown outdoor hat, holding only a small woven gathering basket in one hand, the other hand empty and open, no bell and no tool anywhere on her body or basket",,女性が描かれ、鈴や武器を持っていない状態がプロンプトで指定されている。
ASSET-129,PASS,町の観光協会からは、「解決が遅れると観光にも影響を与えかねない」という心配の声も上がりました。,観光協会の職員・心配の声,"A full-body Japanese woman in her 40s working for a local tourism association, wearing a navy vest over a white blouse and grey trousers, short dark hair, standing with BOTH SHOULDERS EQUALLY VISIBLE facing the viewer, one hand pressed to her cheek and the other holding a plain folder, eyebrows drawn up and together, mouth turned down in a worried frown",,ナレーションで心配の声を上げる観光協会の職員が、心配そうな表情で描かれている。
ASSET-144,PASS,そして、事件から8か月余りが過ぎた、2014年12月18日。,事件から8か月余りの経過,中央に「2014年12月18日」を白字で表示し、下に小さく「事件から8か月、、」。,,ナレーションの主題は時間の経過であり、日付と経過月数のテロップで示されている。
ASSET-147,PASS,12月のこの時点までに、せたな町で捕獲したクマは20頭。,捕獲したクマ,"The nearest trap's door is shut and a captured adult Hokkaido brown bear about 2 metres long crouches inside ON ALL FOURS, its dark shape clearly visible through the mesh",,捕獲されたクマが箱わなの中に描かれ、20頭という数はテロップで補われている。
ASSET-165,PASS,そこで町は、町の人や旅行者にも、山へ入るのを控えるよう呼びかけました。,町・町の人・旅行者,"a male town official in his 40s in a navy work jacket, grey trousers and a navy cap, facing right toward the others, holding a white hand-held megaphone to his mouth and raising the other palm in a stop gesture, earnest and urgent, NOT angry; 2) a local woman in her 70s in a lavender cardigan and grey slacks, facing left toward him, nodding with a worried face; 3) a young male traveller in his 20s in a red windbreaker with a backpack, facing left toward him, listening with a surprised face.",,町の職員が拡声器で呼びかけ、町の人と旅行者が聞く姿が描かれています。
ASSET-180,PASS,そして数日後、事態は思わぬ形で進展することに。,事態の進展,The desk and chair are empty; the call has just come in.,,ナレーションは抽象的な事態の進展を述べており、入ったばかりの電話で象徴している。
ASSET-189,PASS,捕獲された時期は昨年2014年8月4日。,捕獲されたヒグマ,"The trap door is shut, and through the mesh a large dark brown adult male Hokkaido brown bear about 2 metres long is visible inside, crouched low on all fours.",,ナレーションの主題である捕獲されたヒグマが、扉の閉じた箱わなの中に描かれている。
ASSET-192,PASS,体長2メートル、体重230キロ。推定7歳のオスでした。,成獣オスのヒグマ,"A full side-on view of a single adult male Hokkaido brown bear, about 2 metres long and about 230 kilograms, seven years old, a FULLY GROWN adult, NOT a cub, standing ON ALL FOURS, NOT upright, NOT on two legs, inside a steel box trap for bears",,ナレーションの主題である成獣オスのヒグマが捕獲された姿で描かれ、数値もプロンプトとテロップ指示に含まれている。
ASSET-209,PASS,現在のせたな町も、山へ入る前にクマの出没情報を確認し、単独で山に入るのを避けるよう呼びかけています。,せたな町の呼びかけ・クマ・入山者,"Two full-body Japanese wild-vegetable gatherers standing side by side; the man holding a small paper leaflet printed with a simple dark brown bear silhouette, both leaning slightly forward and reading it together",,2人の入山者とクマのシルエットが描かれ、再利用する登山口の背景とテロップで町の呼びかけを示している。
ASSET-219,PASS,亡くなられたかたのご冥福をお祈りいたします。,故人への追悼,"A small bunch of white chrysanthemums laid on a weathered wooden rail on a quiet hilltop in Setana, southwestern Hokkaido, at dusk in late spring",,ナレーションは故人の冥福を祈る心情を述べた抽象文であり、供えられた白い花がその心情を象徴している。
