id,verdict,narration,subject,evidence,missing,reason
ASSET-161,FAIL,手がかりになる特徴は、足跡から判明したオスのクマで前足の幅が14センチということ。,オスのクマ・前足幅,"No bear anywhere in the frame, no animal visible.",オスのクマ,ナレーションに登場するオスのクマが、プロンプトでは足跡だけで示され、姿が描かれていない。
ASSET-162,FAIL,そして、鼻には男性がつけたナタの傷が残っている可能性が高いと考えられていました。,男性・ヒグマ・鼻の傷,"its muzzle shows no visible mark, nothing red and nothing stained.",ヒグマの鼻に残るナタの傷,男性とヒグマは描かれていますが、主題であるヒグマの鼻の傷は描かれていません。
ASSET-167,FAIL,捜索が続く中、ハンターでもある町職員の八木忠義（ただよし）さんが、クマの行動について「多くのクマは人に気付くと避けていく。このクマは2年前の遭遇事故を機に、人を獲物と認識するようになったのか」と語っています。,八木さん・クマ・人,A full-body Japanese male town official in his 40s,クマと、クマが避ける／獲物と認識する人が描かれていない。,八木さんは描かれるが、クマは机上の写真だけで、人も登場しない。
ASSET-168,FAIL,地域で暮らす元漁師、岡部秀隆（ひでたか）さん（86歳）も、「人が減り、年寄りばかりになって奥の畑まで手入れができなくなった。荒れた場所に山菜が生え、クマが来やすくなったのかもしれない」と、近年のクマ被害について話していたとのこと。,岡部秀隆さん・山菜・クマ,A full-body Japanese former fisherman aged 86; the first green shoots of wild vegetables coming up among the weeds,クマが描かれていない。,ナレーションに登場するクマが、キャラ・背景のどちらのプロンプトにも登場しない。
ASSET-169,FAIL,またこの時期は、どうしても裏山の畑へ出かけないといけない場合は、クマ対策として、ラジオや爆竹などの鳴り物が欠かせない状況でした。,住民・クマ・鳴り物,He holds a small portable radio up in his right hand and a small red packet of firecrackers in his left hand,クマ,住民と鳴り物は描かれていますが、ナレーションに出るクマがプロンプトに登場しません。
ASSET-170,FAIL,町全体が「新たな被害者を出してはならない」として、クマには細心の注意を払っていたのです。,町の人々・クマ,Exactly three full-body Japanese men standing side by side in a loose row,クマ,町の職員・住民・ハンターは描かれているが、ナレーションに登場するクマがプロンプトに描かれていない。
ASSET-174,FAIL,捜索隊は日によって2人から10人ほどでした。,捜索隊の人数,"Exactly two full-body Japanese hunters walking side by side toward the viewer at a slight three-quarter angle, both faces clearly visible.",2人を超える捜索隊員（最大約10人）,プロンプトに描かれる捜索隊員は2人だけで、ナレーションにある約10人の日はテロップでしか示されていない。
ASSET-175,PASS,昨年は現場近くを探していましたが、今回はさらに広い範囲での捜索となりました。,ハンター・捜索範囲,"He holds a pair of binoculars lowered to his chest with both hands, eyebrows shot up high, eyes stretched wide, mouth hanging open in dismay, beads of sweat on his forehead, overwhelmed but determined, NOT calm, NOT smiling. / A vast panorama of forested ridges and deep valleys rolling away to the horizon inland from Setana, southwestern Hokkaido",,捜索に関わるハンターと、今回の広い捜索範囲が描かれている。
ASSET-176,FAIL,しかし、それでもクマは見つかりません、、,クマ,該当なし,クマ,ナレーションに出るクマが描かれず、ハンターの反応と空の風景で代替されている。
ASSET-177,PASS,北海道によるクマの問題行動の分類によると、このクマは最も有害性が高い「段階3」と認定されました。,クマ・段階3認定,「a large printed telephoto photograph of an adult male Hokkaido brown bear」「A full-body Japanese male prefectural government official in his 50s」「He holds a plain document in his left hand and points hard at it with his right index finger」,,クマが写真に描かれ、道の職員が分類資料を指す姿と編集指示の「段階3」の表示で認定の主題が示されている。
ASSET-178,PASS,町内のコンビニや民宿などにも200枚ほどのビラが配られ、,ビラの配布,He hugs a thick stack of plain white leaflets against his chest with both arms; The counter of a small convenience store in a seaside town near Setana,,ナレーションに人物・動物は登場せず、主題であるビラを職員がコンビニへ配りに来る場面が描かれている。
ASSET-179,FAIL,そこには「人を恐れないクマがいる」と書かれていたとのこと。,人・クマ,one white leaflet pinned in the middle of the board showing only a large dark bear silhouette and no words,クマの姿,人に当たる住民は描かれているが、クマはビラのシルエットで代替されている。
ASSET-181,FAIL,クマの捜索と並行して、せたな町は別の方法でもクマを探し始めていました。,せたな町・クマ・捜索,A full-body Japanese female researcher in her 40s,クマと、せたな町の捜索者が描かれていない。,研究者と研究室は描かれているが、ナレーションに出るクマと、せたな町がクマを探す主体は絵に見えない。
ASSET-182,FAIL,せたな町以外で捕獲されていたクマのDNA鑑定を専門家に依頼したのです。,依頼者・専門家・捕獲されたクマ,A full-body Japanese female researcher in her 40s,依頼者と、せたな町以外で捕獲されたクマが描かれていない。,専門家は描かれているが、依頼者と捕獲されたクマは試料袋や試験管で代替されている。
ASSET-184,PASS,対象はせたな町と近隣の町で、前年に駆除された20頭。,前年に駆除された20頭,背景は ASSET-181_bg.png を再利用し,,別カットの背景再使用が指定されているため、判定ルールに従い参照先が主題を描いていると仮定する。
ASSET-185,PASS,専門家は快くこの依頼を承諾し、早速、DNA鑑定を進めることに。,専門家・DNA鑑定,She holds a laboratory pipette upright in her right hand and a small capped sample tube in her left hand,,専門家である研究者が試料とピペットを持ち、DNA鑑定に取りかかる姿が描かれている。
