id,title,view_count,upload_date,duration,channel,elapsed_days,views_per_day,included,exclusion_reasons,published_mark,own_row,own_title,match_basis,source_file,sha256
e0L4ji2pVPc,【SOS無視】主催者の末路は…黄河石林2021年トレランレース遭難事故【地図とアニメで解説】,2795574,20240922,2256,生きて山から帰るには【山岳遭難解説】,720,3882.741666666667,True,[],既出,27,"気温20℃で""凍える""…172人のランナーを襲った見えない凶器",172人のランナーの低体温遭難に対応する2021年黄河石林トレイルランニング事故,video_full_default_e0L4ji2pVPc.json,c30e3baea013396fc3b3ee259c81ad8773531bd859f178117d7abad57ec556e6
HcpfUWh7z30,10秒で始まる悪夢。撮影で逃げ遅れも… 御嶽山噴火2014年【地図とアニメで解説】,2642685,20240616,2851,生きて山から帰るには【山岳遭難解説】,818,3230.666259168704,True,[],,,,,video_full_default_HcpfUWh7z30.json,6c0f112788fb76c3baa166763fd9b18622c9366be7e535a9a2884f730f7f4929
uOSCYklhgqY,【闇深】放置遺体200以上…エベレスト大量遭難事故1996年5月【地図とアニメで解説】,2476896,20250202,1928,生きて山から帰るには【山岳遭難解説】,587,4219.584327086883,True,[],,,,,video_full_default_uOSCYklhgqY.json,40b9a4cfaff1ebfe6e1e9edc186519f78fd21cd46589b98ae9e29f8fc8572db4
ds2_U1LkuX0,6歳の子供を連れた親子が軽装で向かったのは「上級者向け」の登山コース。その悲しい結末は…「新潟親子遭難事故」【地形図から解説】,2382649,20230608,470,山岳遭難ファイル,1192,1998.866610738255,True,[],既出,6,誰にも言わず6歳の息子と上級コースへ...無計画な登山が最悪の結末を招く...2018年 新潟親子遭,6歳児を連れた新潟親子遭難,video_full_default_ds2_U1LkuX0.json,1f2cb113c287f3641bebd1d684208bc38028b2a4d718ac067372772ddb46f820
0aVucATZCkg,温泉泊の余裕の訓練、なぜ全滅に…八甲田山雪中行軍1902年【地形図とアニメで解説】,2375940,20231228,1287,生きて山から帰るには【山岳遭難解説】,989,2402.366026289181,True,[],,,,,video_full_default_0aVucATZCkg.json,ebdc59d13feb6f39325b5c82ce52cc41da0634ea9fa40837dabfa90932796932
iwtKY3Z9tmI,「熱い…助けて…」辺りに響く55名悲痛の叫び…西穂高遭難事故1967年7月 【地図とアニメで解説】,2298254,20241222,2536,生きて山から帰るには【山岳遭難解説】,629,3653.8219395866454,True,[],,,,,video_full_default_iwtKY3Z9tmI.json,bd99ba72e6427b00b8120f92ac35d249e4325f3b20d1f6379d7f833216d91594
eqaUKWlI4z8,【大学生vsヒグマ】悲惨すぎる結末...福岡大ヒグマ事件1970年【地図とアニメで解説】,2292947,20231215,1336,生きて山から帰るには【山岳遭難解説】,1002,2288.370259481038,True,[],既出,1,5人中3人死亡...熊を甘く見た20歳大学生の結末...1970年 福岡大ヒグマ事件【地形図とアニメ,1970年福岡大学ヒグマ事件,video_full_default_eqaUKWlI4z8.json,f32d2e2d91fad7c0dd86b807200d3c5a42dda975f1365c666bd2adf029646462
W-DHZU_uAtI,発見された青年…大千軒岳ヒグマ事件2023年10月【地形図とアニメで解説】,2164129,20240225,1282,生きて山から帰るには【山岳遭難解説】,930,2327.020430107527,True,[],既出,13,埋められた22歳の大学生、、ピストルが効かない異常グマとの末路… 2023年 大千軒岳ヒグマ事件,2023年大千軒岳ヒグマ事件,video_full_default_W-DHZU_uAtI.json,ec8a6bfb8c8a6dc0a609dbcf1e2fc9a893bf8a33719d71bed099b6a942a6ab26
FeQNAJXfF7g,無計画が招く最悪の結末...新潟親子遭難事故2018年【地形図とアニメで解説】,2093860,20231220,1227,生きて山から帰るには【山岳遭難解説】,997,2100.160481444333,True,[],既出,6,誰にも言わず6歳の息子と上級コースへ...無計画な登山が最悪の結末を招く...2018年 新潟親子遭,2018年新潟親子遭難,video_full_default_FeQNAJXfF7g.json,23bfb20ad500ac95416f822e6268d529ee5b804e23937ca745347bb19525175a
9QRMkRP4BnQ,"雪山で遭難→全てを悟った大学生の最期の4日間。最後に残した2,000文字の手紙には…「日高山脈遭難事故」【地形図から解説】",1958674,20230521,803,山岳遭難ファイル,1210,1618.7388429752066,True,[],,,,,video_full_default_9QRMkRP4BnQ.json,fab95a4fc46ad9fb8583a042ad9aa071efe1dce3247b2e15b6f19fc1cd18c4e0
p3FR8lqoP2M,「救助要請はしない」ヤバすぎるツアー会社。トムラウシ山遭難事故2009年【地図とアニメで解説】,1889600,20231205,1223,生きて山から帰るには【山岳遭難解説】,1012,1867.193675889328,True,[],既出,18,「ガイドがそう言うなら…」低体温症で8人死亡…2009年 トムラウシ山遭難事故【山岳遭難をアニメで解,2009年トムラウシ山遭難,video_full_default_p3FR8lqoP2M.json,2ad558771f9f84b11a21b7958609c4174843e1a48c2042f8b78d47e017e00ba6
JhJB9srj_1s,息子のため…ヒグマの生息地 北海道駒ケ岳遭難事故 2016年【地図とアニメで解説】,1842191,20250615,1494,生きて山から帰るには【山岳遭難解説】,454,4057.6894273127755,True,[],,,,,video_full_default_JhJB9srj_1s.json,e3b8e1b8fe93881d623245ae12e2e19a3215f4658c6dfad9b0ab4047555ca3d0
nyliJOlgFBA,【視聴者実体験】謎の高齢男性との遭遇…忌み地奥多摩ズマド山遭難事故2018年【地形図とアニメで解説】,1749923,20250119,1271,生きて山から帰るには【山岳遭難解説】,601,2911.685524126456,True,[],,,,,video_full_default_nyliJOlgFBA.json,1bd62f40abc383b9439400d16d63fa1ffb3d833c19c9ad4e31fe3c417eda69dd
gSpMF7ujXuA,「助かってしまった…」7人中5人死亡 吾妻連峰1994年雪山遭難事故【地図とアニメで解説】,1713495,20240707,1724,生きて山から帰るには【山岳遭難解説】,797,2149.930991217064,True,[],,,,,video_full_default_gSpMF7ujXuA.json,8592d4fdb7acceff0ceeb96df13f36ad3f8c49de193410a608852d05f91d3cba
